file_name,value_per_atom,composition,HHI_P,HHI_R
212_Fe2Ga4,-0.1746195386096053,Ga2Fe,4613.530577445965,1757.021060878381
213_Mn2Sn2,0.1906174282030415,MnSn,2283.624166341751,1663.27516673165
214_PI,0.6761453129882056,PI,4331.055765813237,4858.856300088286
215_AgAl2,0.1927638806395458,Al2Ag,1333.381082158326,1266.618917841674
216_Cr5Rh4,0.043413251064886,Cr5Rh4,3161.28952765959,6490.291578724023
217_Ge8Br,0.2846492762005539,Ge8Br,5058.241758241757,2504.395604395604
218_Ag5Al2,-0.0047721081775178,Al2Ag5,1236.381396503911,1363.618603496089
219_Ag4Al2,0.0373786797866924,AlAg2,1244.465668678022,1355.534331321978
220_Cr8Rh,0.215390972454407,Cr8Rh,3119.832452676882,4873.465654398378
221_Mo7Nb,0.4178278478907451,NbMo7,3141.31983620166,5725.347447000952
222_BaIr2,1.7617864823163814,BaIr2,4842.002372733877,7310.246453836144
223_Pd12Ta18,-0.1882194332244068,Ta3Pd2,2553.487027984356,5701.287210611043
224_K2As6,0.0183152754736446,KAs3,3062.917664501023,4474.164670997953
225_AlPd2,-0.7917135539533374,AlPd2,3019.989221935548,7212.452845968023
226_Al4Pb2,0.4596315211143362,Al2Pb,2472.711420173142,1634.699214671376
227_Ir2Na4,0.2310379275124135,Na2Ir,4650.659489482718,7439.925365807129
228_Ge3P,0.4028421099060848,Ge3P,4889.329142768954,2298.226285799803
230_Cu7Pt5,-0.1185395596556523,Cu7Pt5,4278.513943398379,6719.668197391711
231_Ba3Ir,0.3315548688782104,Ba3Ir,3795.339441706195,4463.323281440853
232_Ta3Ge,-0.1070394710213111,Ta3Ge,2654.06302594818,4457.73907491676
233_Ag6Al6,-0.0259394001015677,AlAg,1280.034381616517,1319.965618383483
234_Ag5In,0.0038147416913586,InAg5,1568.592039550018,1505.312011300005
235_PAs3,0.5081874789383827,As3P,3142.550570844298,4133.226440054825
236_VW2,0.4517394004088544,VW2,6549.751864154135,4190.480183172627
238_In4Pb16,0.2226825117026813,InPb4,2773.007085494342,1824.335695164781
239_Pb2Sb6,0.156305874512693,Sb3Pb,6017.942984907771,2820.905533817775
241_CrTa,2.5070367353222007,TaCr,2478.570315489587,4643.750973946611
242_Ag7Ta,0.3318113890532039,TaAg7,1412.646679799075,2057.271555742597
243_FePb3,0.4786018239383995,FePb3,2675.26957908022,1767.026105440294
244_Ni4Rh2,0.1668692690605411,Ni2Rh,2027.689574261107,4536.355560316906
245_AlRh2,-0.637019060757113,AlRh2,3014.553928490902,7188.673437147697
246_WSb,0.6402363637939983,SbW,7358.586387434554,3941.413612565445
247_Ba4Ir2,1.2154619112347849,Ba2Ir,4029.283249548591,5099.650438772167
249_Ni8Ta16,-0.0807124775193379,Ta2Ni,2118.584435224151,4339.483566338229
251_Ba2Ni2,0.597629677831121,BaNi,2401.150084378973,2060.460033751589
252_AuPt,1.1568970335132995,PtAu,3289.435924527379,5030.552497425402
253_Cu3Ge4,0.2297082476966535,Cu3Ge4,3834.157249198875,1741.530513426905
254_NbP2,-0.6493615298102936,NbP2,5899.749727975861,7319.857537463182
255_Mo2Pb2,0.5946080176813062,MoPb,2605.053770535066,2907.706010424226
256_CuIr,1.783717347151633,CuIr,4531.019342125327,7211.730000039099
258_Cr5Nb,0.1469112927238486,NbCr5,4521.686326224426,5337.393654306445
259_K2As2,-0.160004924188351,KAs,2751.347703339505,5097.304593320991
260_CuNi,1.2524800810011456,CuNi,1311.909253481283,1500
261_Fe3Na,1.127116443806946,NaFe3,2243.134831355823,1291.401037092493
262_BaBr3,-1.4692358460725734,BaBr3,3190.732523691183,5224.565363264808
263_Fe2Pb2,1.224709304364091,FePb,2636.309376722614,1715.079168963485
264_Cr4P,0.722891464014863,Cr4P,2957.417976792105,4229.620021098087
265_Pd16Ta14,-0.2155509804832832,Ta7Pd8,2661.768532086731,6086.288114086154
266_Ag4Al4,-0.0171242730527843,AlAg,1280.034381616517,1319.965618383483
267_CrP7,0.6510238187764203,CrP7,2212.771816946533,4906.571075503152
268_FeW2,0.3111246762356288,FeW2,6393.454931822207,3917.612891800957
269_SnP3,0.5314056150159168,SnP3,2336.557043838972,3136.750577605997
270_FeNa,2.2341407373912583,NaFe,2020.894431011139,1137.542298392327
271_PtV2,-0.3400272227183064,V2Pt,4745.227247471941,7144.452413904575
272_NbPb3,0.5071251497625129,NbPb3,3454.166819336169,2710.201333681583
273_Ba3Br,-0.6944199402649203,Ba3Br,3048.733342142981,3047.244579525702
274_CsBr,-1.85028031224608,CsBr,4986.225479771559,6337.924840076146
275_V4W4,0.2378765211926374,VW,6197.1959034251,4104.72332786016
276_K5Ge,0.1171544290501849,K5Ge,2675.282650490524,5764.167209000061
277_Ba2Cu2,-0.0169725723717149,BaCu,2557.111209570226,2046.920691182986
278_Al12Sn4,0.1373679800708411,Al3Sn,2194.576787139825,1356.746072283895
279_Ba2Cu4,0.1679982061833745,BaCu2,2327.095254123191,1915.483002356109
280_K3P,0.1089889412197191,K3P,1762.670887257349,6761.303789198556
281_YbBi,-0.1419430461440991,YbBi,7202.432435545326,4686.415699266322
282_V2W,0.1508598416056431,V2W,5680.655390010605,3979.078338110688
283_Fe3Pb,0.3868168751662972,Fe3Pb,2565.877219902064,1621.169626536085
284_Cu6Pt6,-0.0941277396963631,CuPt,4541.760816610602,7232.662104164249
285_MoPb3,0.5025277881857404,MoPb3,2659.887950497533,2267.973910862112
286_Ca3P5,-0.4401060503561709,Ca3P5,2830.397188600146,3526.615853178672
287_Ca12Mo4,0.6399058390486374,Ca3Mo,3234.286269394099,3186.474784201615
288_As2Br6,0.3046454324844947,AsBr3,3300,6209.442348178961
289_P5As,0.7837244693717675,AsP5,2423.856156573288,4741.352482899525
