file_name,formula,space_group,value_per_atom
1115_Ba4Ni6,Ba4Ni6,R-3c,0.4894772677785376
1117_Al8Pb4,Al8Pb4,Pnma,0.2485274522084513
1125_AlMo2,AlMo2,Fmmm,2.233849459482612
1129_Al2Pb4,Al2Pb4,Pnnm,0.2678257974993154
1133_Mn2Sn4,Mn2Sn4,I4/mcm,-0.0217938214707539
1135_BaIr2,BaIr2,Fmmm,2.783862077291165
1138_Au2Mn6,Au2Mn6,Cmcm,0.3285969933139405
1149_NbI,NbI,F-43m,1.049989155341601
1153_AuCu3,AuCu3,P4/mmm,-0.0003989963805692
1166_As3Br,As3Br,P4/mmm,0.2125235734648201
1170_NbP3,NbP3,P4/mmm,-0.1655885277068263
1173_GaP4,GaP4,Im-3m,0.6351338889906983
1174_PbV4,PbV4,Im-3m,1.736418693171305
1177_PAs5,PAs5,F-43m,0.7699399335684985
1179_As4Br2,As4Br2,I4/mcm,0.4407940179014631
1186_Ag6Al2,Ag6Al2,Cmmm,-0.0471502445581117
1189_CuBr3,CuBr3,Imm2,-0.1813563709530927
1193_Ag7Al3,Ag7Al3,Amm2,-0.0400596366406151
1203_BaCu5,BaCu5,Amm2,0.1611099610981305
1207_Ce4Ge4,Ce4Ge4,Pnma,-0.9901764428373054
1217_Pt4Sr2,Pt4Sr2,Cmcm,-0.413395828067897
1218_Ba4Cu8,Ba4Cu8,Pnma,0.2957104055890719
1220_Ba4As,Ba4As,I4/m,-0.4649167621253038
1223_Al2Cu,Al2Cu,Fm-3m,-0.1791318434967745
1224_Na3Pt,Na3Pt,I4/mmm,-0.0569240620067024
1227_Mn2W6,Mn2W6,Pm-3n,0.1105672566669202
1234_SbGe3,SbGe3,Imm2,0.3208394111207813
1235_FePb,FePb,Pm-3m,0.8299400887561053
1237_CaNi5,CaNi5,P6/mmm,-0.1309344261631579
1239_Ba2Sn2,Ba2Sn2,Pmma,-0.6111419105514235
1240_VW3,VW3,P4/mmm,-0.0782328929197611
1260_KP3,KP3,Cmmm,0.5600689693530976
1281_Mn8W16,Mn8W16,Fd-3m,0.2511346581815014
1299_Cr2Na6,Cr2Na6,Cmcm,0.6015848251485396
1300_Al4P2,Al4P2,I4_1/amd,0.0048209866646065
1304_SrAs3,SrAs3,Pm-3m,-0.6826751140489415
1305_GaW2,GaW2,I4/mmm,0.1380785238708952
1307_Fe26Pd2,Fe26Pd2,Fm-3c,0.3245601126779028
1308_Ba2Sn4,Ba2Sn4,Imma,-0.5594160073734505
1310_Ag4Mn2,Ag4Mn2,I4_1/amd,0.5553655597303203
1314_Ta3V,Ta3V,Cmmm,0.2921233851410409
1315_P7As,P7As,Fm-3m,0.7665221907047712
1316_TaGe3,TaGe3,Pmm2,0.2141826952026813
1379_Cu18As6,Cu18As6,P-3c1,-0.0680231611870526
1380_Fe4Pb8,Fe4Pb8,Pnma,1.0701517736064603
1381_Mo4Pb4,Mo4Pb4,Pnma,0.986165049405022
1388_Fe8Na16,Fe8Na16,Fd-3m,0.7667905908766114
1404_Al3Pd,Al3Pd,P4/mmm,-0.3980137157838905
1412_FeK,FeK,R-3m,1.3241645138926663
1419_Fe2Pb4,Fe2Pb4,Pnnm,0.4720998800685994
1427_Ni3Sb,Ni3Sb,I4/mmm,-0.1358773065812233
1431_Ba2Br,Ba2Br,I4/mmm,-0.9593332803697492
1436_AlFe,AlFe,P-6m2,-0.2410192208620589
1439_PbTa3,PbTa3,P4/mmm,0.2290332506804056
1440_KI,KI,R-3m,-1.585149885067622
1446_GaNb,GaNb,R-3m,-0.1390046700444722
1450_Pb4V,Pb4V,Im-3m,0.3160382440149568
1461_Pd2Ge4,Pd2Ge4,Imma,0.1011663982781095
1463_Cr2Na,Cr2Na,Immm,1.0064532429628876
1466_Fe6Na2,Fe6Na2,Pm-3n,1.2328789781487774
1473_VBr2,VBr2,I4/mmm,-0.4152301239996578
1475_Ca2P2,Ca2P2,Cmcm,-0.816929871768715
1479_Fe6Sb2,Fe6Sb2,Pmmn,0.2828788980736254
1485_BaCu5,BaCu5,Cmmm,0.2562033384073583
1490_PbSb3,PbSb3,Immm,0.1251027141729275
1498_CuTh,CuTh,P-6m2,0.2132029681483676
1499_Fe6Sb2,Fe6Sb2,Cmcm,0.3131206590505275
1503_FeMo5,FeMo5,F-43m,0.5453663357175754
1505_Ce4Cu4,Ce4Cu4,Pnma,-0.1497641612650788
1514_Ga16Pt8,Ga16Pt8,Fd-3m,-0.3962004231706816
1519_Cr2Ta4,Cr2Ta4,Pnnm,0.758102563824084
1523_Ga2Br6,Ga2Br6,Cmcm,-0.4421051503954034
1529_AgCa2,AgCa2,I4/mmm,-0.2246726768933656
1535_Ba2Pd,Ba2Pd,Fmmm,-0.3625728003444
1547_GaAs2,GaAs2,I4/mmm,0.1910730051542918
1552_Pd4Sn4,Pd4Sn4,Pnma,-0.3934178880777548
1554_Ba5P,Ba5P,P4/mmm,0.243126367836548
1571_Ca2Rh4,Ca2Rh4,I4_1/amd,-0.1264421561850426
1576_Ag2Sn,Ag2Sn,I4/mmm,-0.0051447146254079
1581_FeV3,FeV3,Immm,-0.1426573123202441
1586_Cu6Pt5,Cu6Pt5,P1,-0.1172930858644618
1588_Ag2Al3,Ag2Al3,Immm,-0.0310931534378596
1592_BaIr5,BaIr5,F-43m,0.6484048012314467
1594_SbI,SbI,Fm-3m,0.1741662779612185
1607_K2Na4,K2Na4,Pnnm,0.0638998573109968
1611_Na4Pt2,Na4Pt2,Fd-3m,0.2613324801413122
1613_P12As17,P12As17,I-43m,0.3327069785419281
1619_Fe3V,Fe3V,Fm-3m,-0.1830790839423262
1633_Ba5Sn3,Ba5Sn3,Cmmm,-0.4833400665952947
1640_Ag2Ca4,Ag2Ca4,I4/mcm,-0.2512035885165782
