file_name,space_group,value per atom
4608_Mn2Rh,I4/mmm,0.06609911
3691_BaRh2,I4/mmm,0.138742042
2056_Pd4Rh5,I4/mmm,0.090057094
3212_In4Rh16,I-43m,0.240435736
4050_Au3Ni,Cmmm,0.070024657
3010_IrNi2,Immm,0.137103786
569_CuNi,P-6m2,0.009496147
793_PdRh2,P4/mmm,0.806099715
4351_BaRh3,P4/mmm,0.327592112
4125_InRh4,Im-3m,1.096745902
4787_Cu2Ni2,Cmcm,0.082291197
2896_Ni4Ta,Im-3m,0.841783039
2387_Ni2Sb,I4/mmm,-0.09370714
1960_AlRh2,I4/mmm,-0.642703431
244_Ni4Rh2,Cmmm,0.166869269
4412_NbNi2,I4/mmm,-0.297224513
2741_Nb2Rh4,I4_1/amd,-0.170010029
4399_NbNi2,I4/mmm,-0.262056404
245_AlRh2,I4/mmm,-0.637019061
4792_Ni2Yb2,Pmma,-0.2416082
2793_Mo2Rh6,I4/mmm,-0.197014965
147_Cu2Ni26,Fm-3c,0.26773963
182_Cu6Ni2,Pm-3n,0.103214298
1522_Cu6Ni2,Pm-3n,0.106077669
4180_Rh2Sb2,Cmme,-0.180140238
610_CuNi4,Im-3m,0.870999573
53_NiRh,P-6m2,0.0437964
4153_Mo2Rh2,P4/nmm,-0.074219952
4411_Rh2W2,Pmma,-0.163406097
619_Pd2Rh2,P4/nmm,0.033517969
4746_Au2Ni2,Cmcm,0.242429637
4241_Au8Rh4,Pnma,0.171198271
2817_Ir2Ni6,Pmmn,0.025042797
3817_Na2Rh4,Cmcm,0.245481902
4759_Au4Ni8,Pnma,0.113768059
3165_Na2Rh4,Pnnm,0.492361539
146_RbRh,P-6m2,1.051903901
383_Ni3Sm,Pm-3m,-0.329970906
1014_CrRh2,P4/mmm,0.470186246
4979_RhSb,Pm-3m,-0.175617877
1237_CaNi5,P6/mmm,-0.130934426
463_Ni3Sb,P4/mmm,0.044934254
945_RbRh,P-6m2,1.052037411
796_RhBi,P-6m2,0.068426659
4370_Rh3Sb,Immm,-0.206356245
3226_MoRh,P4/mmm,-0.175328237
2897_AlRh3,P4/mmm,-0.440197008
4024_AuRh2,Immm,0.182942745
4475_AlNi3,Immm,-0.405605168
4796_Ni3P,Pmmm,-0.174271319
3255_MoRh,P4/mmm,-0.178031267
4527_AuNi,P-6m2,0.178843941
3736_Rh3Sb,Imm2,-0.07689411
845_Ni3Sb,Fm-3m,-0.223002541
2584_PdRh4,I4/m,0.059436777
346_Ni4Rh8,Pnma,0.053577887
4923_Rh6W4,Fdd2,-0.0562816
4586_Ni3P,Pmmm,-0.189741214
3869_NiPt,P4/mmm,-0.118668253
4588_Ag3Ni,Pm-3m,0.163713691
4352_Mn2Rh4,Cmcm,0.029969721
4859_Mo3Rh,I4/mmm,0.101787673
1007_CrRh4,I4/mmm,0.446736313
2030_Cr8Rh4,I4_1/amd,0.090179603
4806_Rh2As,Fm-3m,-0.471360177
4915_Cu2Rh6,Pmmn,0.067668252
2460_Ni5Rh,Pmmm,0.023029935
2887_Rh4Ge2,Cmcm,-0.210581385
3720_Ni3P,P4/mmm,-0.170134141
3292_Ni2Ta,I4/mmm,-0.355002944
4580_Au10Ni6,I4/mcm,0.182823498
4976_Rh3Ta,I4/mmm,-0.483574012
1678_RhYb,P-6m2,-0.33484244
3068_Pt4Rh8,Pa-3,0.76655869
1283_CaNi5,P6/mmm,-0.110819994
2922_AuNi5,Amm2,0.124381284
606_Ni3Np,Pm-3m,0.140134286
3523_AlRh4,I4/mmm,0.14901141
1070_Ni5Ta,F-43m,-0.241631982
2874_AuNi,Fm-3m,0.461522018
1933_Ni2Rh2,Cmme,0.222964826
149_PdRh2,I4/mmm,0.067974013
3021_Ir2Rh6,I4/mmm,0.002369374
3061_Rh5W3,Cmmm,-0.173224484
4065_Mo4Rh2,Pnnm,0.728808483
3834_Ni5P,P4/mmm,-0.072823868
3209_PtRh3,P4/mmm,-0.006750268
4532_Rh3Ge,Fm-3m,-0.198831416
3161_KRh,P-6m2,0.78685286
3157_Rh6W4,Fdd2,-0.059400997
3566_Cu6Rh2,Cmcm,0.042087941
4847_Nb10Ni6,I4/mcm,-0.092871424
3729_Ni8Pt4,Pnma,-0.045224864
4369_Rh4Ge2,Cmcm,-0.21434454
4106_Rh3As,Pmmm,-0.014357665
1821_MnRh,Pm-3m,-0.192473682
2010_Cr4Rh8,I4_1/amd,-0.087448272
3547_Rh4Sr2,Cmcm,0.157292089
2975_NbNi,P4/mmm,-0.040611249
3890_IrNi,Pm-3m,0.123110377
2788_Rh6Sb2,Cmcm,-0.105718355
115_CrRh2,I4/mmm,-0.046456234
3519_Ga2Ni6,I4/mmm,-0.31012481
351_Cr3Rh,Pm-3m,0.147007969
4269_AuNi2,Immm,0.113597398
3071_Mo2Rh2,Cmcm,-0.044739836
1427_Ni3Sb,I4/mmm,-0.135877307
1140_CrRh8,I4/mmm,0.446149008
3979_Ni3V,I4/mmm,-0.252376354
1019_Cr5Rh4,I4/mmm,0.043345096
4567_Na2Rh4,Fd-3m,0.256846317
2792_AlNi5,Amm2,-0.222636443
4441_Rh5As,F-43m,0.470116673
2110_RhYb,Pm-3m,-0.472431861
4778_MnRh5,Amm2,-0.033117303
832_Ni6P2,I4/mmm,-0.312529844
4154_Cu2Ni2,Pmmn,0.019641445
675_AlRh3,Pmmm,-0.413267123
3728_NiRh,R-3m,0.042596585
2823_IrRh3,P4/mmm,0.40063884
3024_Mo2Rh2,I4_1/amd,-0.059027972
3374_Rh5W3,Cmmm,-0.168054495
1104_PdRh4,I4/mmm,0.401449417
4331_Rh3Ta,Imm2,-0.365855097
4810_CeNi3,Pm-3m,-0.008689121
4247_MnRh3,P4/mmm,0.064276913
2546_Pd6Rh10,I4/mcm,0.324955199
691_AgNi2,Immm,0.227339193
2053_Pd2Rh2,P4/nmm,0.041022411
3073_Mn4Rh2,Cmcm,0.016117414
2813_InRh3,P4/mmm,-0.06582879
4461_Mo8Ni4,Pa-3,0.799397334
4815_Nb4Ni2,I4/mcm,-0.16794535
