file_name,formula,space_group,value_per_atom,most_distinct_OFM
143_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4142137698980046,False
144_CaRh4,CaRh4,I4/m,-0.0123593460472001,False
145_Cu4Fe8,Cu4Fe8,Pa-3,0.9290346282517644,False
146_RbRh,RbRh,P-6m2,1.0519039009339617,False
147_Cu2Ni26,Cu2Ni26,Fm-3c,0.2677396298890073,False
148_CrTh,CrTh,F-43m,1.709790452893314,False
149_PdRh2,PdRh2,I4/mmm,0.0679740127382568,False
150_YbP,YbP,R-3m,-0.8482652900103984,False
151_Ir2Mo4,Ir2Mo4,Pnnm,0.2558778878110732,False
152_Ni2As6,Ni2As6,I4/mmm,0.2952248090641767,False
153_Al3V,Al3V,I4/mmm,-0.2967745434488575,False
154_Pd2Ta2,Pd2Ta2,P4/nmm,-0.3618708831950421,False
155_NiAs3,NiAs3,P4/mmm,0.142732757003877,False
156_Cr10Nb6,Cr10Nb6,I4/mcm,0.3962055410731953,False
157_Ag3Al4,Ag3Al4,P-1,0.003962790239954,False
158_Cu2Ge4,Cu2Ge4,Pnnm,0.1885786881460269,False
159_CrMn,CrMn,P-6m2,0.2433130873062836,False
160_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4579160620289459,False
161_Ni2Ta4,Ni2Ta4,Fd-3m,0.6395073564584782,False
162_FeAs3,FeAs3,Imm2,0.0881821666677709,False
163_As3Br,As3Br,P4/mmm,0.2126619543483046,False
164_Mo3P,Mo3P,Fm-3m,0.0756003152457989,False
165_Ni2Sn,Ni2Sn,I4/mmm,-0.1054898433116857,False
166_K4Sn2,K4Sn2,Pnnm,0.0339120821430973,False
167_Al3P,Al3P,Pm-3m,0.1003177873692511,False
168_Fe8Mo16,Fe8Mo16,Fd-3m,0.2217364434622553,False
169_Cu3Ta,Cu3Ta,P4/mmm,0.0786238311665679,False
170_AlTa2,AlTa2,I4/mmm,-0.109572504407905,False
171_Cu5Pt5,Cu5Pt5,P1,-0.1138101380258533,False
172_CuTh,CuTh,F-43m,0.7968494262166388,False
