file_name,formula,space_group,value_per_atom,composition,crystal_system
4113_Cu2Mo2,Cu2Mo2,Pmmn,0.2552253731582725,CuMo,orthorhombic
4114_Ag2Nb,Ag2Nb,Immm,0.3134987729553824,NbAg2,orthorhombic
4116_BaIn,BaIn,Pm-3m,-0.3942991436374097,BaIn,cubic
4117_CaGe3,CaGe3,Fm-3m,-0.0378530245933212,CaGe3,cubic
4118_Mo2Nb2,Mo2Nb2,Cmcm,0.3806547880258044,NbMo,orthorhombic
4120_Cu8Sb4,Cu8Sb4,Pa-3,0.4144417011578489,Cu2Sb,cubic
4121_NaP3,NaP3,Cmmm,0.3117392660306839,NaP3,orthorhombic
4122_Al2Sr6,Al2Sr6,Pmmn,0.03583471460575,Sr3Al,orthorhombic
4125_InRh4,InRh4,Im-3m,1.09674590170157,InRh4,cubic
4126_Ba4Cu2,Ba4Cu2,Pnnm,0.0315725948119934,Ba2Cu,orthorhombic
4127_Ga2Th,Ga2Th,P6/mmm,-0.6637851725451943,ThGa2,hexagonal
4128_Mn8Sb4,Mn8Sb4,Pnma,0.1912105869806796,Mn2Sb,orthorhombic
4129_Al5Fe,Al5Fe,Amm2,-0.0528174990306299,Al5Fe,orthorhombic
4131_W3Sb,W3Sb,Pmm2,0.5330850639774898,SbW3,orthorhombic
4132_AuV5,AuV5,F-43m,0.1040210577935312,V5Au,cubic
4133_Ir6Ta6,Ir6Ta6,Pmma,-0.5934999130302536,TaIr,orthorhombic
4136_CuYb,CuYb,Pm-3m,-0.2513605341934943,YbCu,cubic
4137_Pb5P,Pb5P,Amm2,0.1470081182557236,PPb5,orthorhombic
4138_Na4P2,Na4P2,Cmc2_1,-0.2091135756894007,Na2P,orthorhombic
4139_Ag4Ba8,Ag4Ba8,Pnma,-0.1623410645895558,Ba2Ag,orthorhombic
4140_In6Rh2,In6Rh2,Pm-3n,-0.0876610181800892,In3Rh,cubic
4142_Au3As,Au3As,Immm,0.1491817017053591,AsAu3,orthorhombic
4143_Cu8In16,Cu8In16,Fd-3m,0.0794970944309702,In2Cu,cubic
4144_AuSb3,AuSb3,Pm-3m,0.7712758898898024,Sb3Au,cubic
4145_Nb2As2,Nb2As2,Cmcm,-0.4643435125399362,NbAs,orthorhombic
4146_Ir4Mn,Ir4Mn,Im-3m,0.9132516606593768,MnIr4,cubic
4148_GeI,GeI,Pm-3m,0.1217367740047419,GeI,cubic
4149_Ba4Ni2,Ba4Ni2,Cmcm,0.1227738676787139,Ba2Ni,orthorhombic
4150_Mo2Ni6,Mo2Ni6,Pmmn,-0.1130121420144583,Ni3Mo,orthorhombic
4151_AuSb3,AuSb3,Fm-3m,0.22864339001835,Sb3Au,cubic
4154_Cu2Ni2,Cu2Ni2,Pmmn,0.0196414447752104,CuNi,orthorhombic
4155_CaK,CaK,Fm-3m,0.4978925186275535,KCa,cubic
4156_Fe2Ga2,Fe2Ga2,Cmcm,-0.0016789232952305,GaFe,orthorhombic
4157_GaMn3,GaMn3,Pm-3m,0.208263872388593,Mn3Ga,cubic
4158_Sn4W2,Sn4W2,Cmcm,0.4186146885247837,Sn2W,orthorhombic
4159_In4Mn2,In4Mn2,Pnnm,0.3757935799507077,MnIn2,orthorhombic
4160_InRh,InRh,Pm-3m,-0.4304722861100893,InRh,cubic
4161_AuGe,AuGe,P-6m2,-0.0203678673486198,GeAu,hexagonal
4164_Sn2W4,Sn2W4,Cmcm,0.550858656015072,SnW2,orthorhombic
4165_Ba2W2,Ba2W2,Cmcm,0.7883000138159826,BaW,orthorhombic
4169_Al3Mn,Al3Mn,Pm-3m,0.4621942741946689,MnAl3,cubic
4170_Ni2Ta6,Ni2Ta6,Pm-3n,-0.0830495279921201,Ta3Ni,cubic
4171_CaNb3,CaNb3,Fm-3m,0.649534012542512,CaNb3,cubic
4172_Al5Mn24,Al5Mn24,I-43m,-0.1477738051154592,Mn24Al5,cubic
4174_Fe8Ge16,Fe8Ge16,Cmce,-0.0145605955894048,FeGe2,orthorhombic
4176_Mo2W2,Mo2W2,Cmcm,0.4080368590916485,MoW,orthorhombic
4177_FePt3,FePt3,Pmmm,0.0727994905894222,FePt3,orthorhombic
4178_Ca2Sb4,Ca2Sb4,Cmcm,-0.4487941170993181,CaSb2,orthorhombic
4181_Au6Sb2,Au6Sb2,Pm-3n,0.1268491665292348,SbAu3,cubic
4182_TaV,TaV,P-6m2,0.3810899222485702,TaV,hexagonal
4184_SnW,SnW,Cmmm,0.763816548221854,SnW,orthorhombic
4185_Au4V16,Au4V16,I23,0.4755917777020059,V4Au,cubic
4187_Na4Pb2,Na4Pb2,Cmcm,-0.1531713600703626,Na2Pb,orthorhombic
4188_Mn4Sb8,Mn4Sb8,Pa-3,0.3833065550035227,MnSb2,cubic
4189_Ag2Mo2,Ag2Mo2,Pmma,0.5144999072780223,AgMo,orthorhombic
4190_KSb3,KSb3,Pmm2,-0.0872071987377549,KSb3,orthorhombic
4191_CeBi,CeBi,Pm-3m,-20.51942767497456,CeBi,cubic
4193_K6Pd2,K6Pd2,Cmcm,0.0987713269920638,K3Pd,orthorhombic
4195_KBr,KBr,Fm-3m,-1.9000790488547985,KBr,cubic
4196_Ni2Sr2,Ni2Sr2,Pmma,0.1953395257108292,SrNi,monoclinic
