file_name,formula,space_group,value_per_atom,structural_complexity
2794_Ga5Pt,Ga5Pt,Amm2,-0.1300824104031785,15.509775004326936
518_CaPb5,CaPb5,Amm2,-0.1095779331682044,15.509775004326936
4891_Nb4Sr2,Nb4Sr2,Cm,0.664300873104402,15.509775004326936
2493_In5Br,In5Br,Cm,-0.128083791964323,15.509775004326936
2649_Ba5Sn,Ba5Sn,Cmmm,-0.1835240422710799,15.509775004326936
925_In5Sn,In5Sn,Cm,0.0071618832732151,15.509775004326936
4258_Al5Ni,Al5Ni,Amm2,-0.1007123025640458,15.509775004326936
583_InBr5,InBr5,Amm2,-0.2712177359377226,15.509775004326936
4778_MnRh5,MnRh5,Amm2,-0.0331173025082295,15.509775004326936
3571_Fe5Mn,Fe5Mn,Amm2,0.0476466478093809,15.509775004326936
2940_AsBr5,AsBr5,Cmmm,0.0282342964256434,15.509775004326936
4064_In5Mo,In5Mo,Amm2,0.2891137401028671,15.509775004326936
2922_AuNi5,AuNi5,Amm2,0.1243812841000172,15.509775004326936
276_K5Ge,K5Ge,Amm2,0.1171544290501849,15.509775004326936
2877_W5Sb,W5Sb,Cmmm,0.3221849244437298,15.509775004326936
2332_Ir5Na,Ir5Na,Amm2,0.3068927250645951,15.509775004326936
4821_Ag3Nb3,Ag3Nb3,Cm,0.2345844547757055,15.509775004326936
4790_Ba5W,Ba5W,Amm2,0.8487297015357887,15.509775004326936
4349_Ir3Ta3,Ir3Ta3,Cm,-0.4347810583230007,15.509775004326936
1833_Ga5Br,Ga5Br,Cmmm,-0.0006488106114813,15.509775004326936
3314_PtBr5,PtBr5,Amm2,-0.0871835685459364,15.509775004326936
4623_AgGa5,AgGa5,Amm2,0.0301596591030233,15.509775004326936
3129_Sn5W,Sn5W,Amm2,0.3710214703773496,15.509775004326936
2577_Cr5Na,Cr5Na,Amm2,0.694440626891898,15.509775004326936
4061_Mn5V,Mn5V,Amm2,0.1339017868412367,15.509775004326936
4317_Ag4Nb2,Ag4Nb2,Cm,0.2673313436111317,15.509775004326936
1864_Fe5W,Fe5W,Amm2,0.1370840131538635,15.509775004326936
2902_Cu5Mn,Cu5Mn,Amm2,0.19009826311848,15.509775004326936
2907_Au5Sb,Au5Sb,Amm2,0.0529373901265829,15.509775004326936
2345_KP5,KP5,Cmmm,0.0256133907113328,15.509775004326936
3797_Au4Nb2,Au4Nb2,Cm,0.0185439151225352,15.509775004326936
4295_AuAs5,AuAs5,Cmmm,0.4915406082243644,15.509775004326936
41_TaV5,TaV5,Cmmm,0.0285429832034746,15.509775004326936
4799_Ba3In3,Ba3In3,Cm,-0.3259496805371166,15.509775004326936
2095_GeP5,GeP5,Amm2,0.2502946082764126,15.509775004326936
2969_Au3Nb3,Au3Nb3,Cm,-0.0151428426324133,15.509775004326936
4129_Al5Fe,Al5Fe,Amm2,-0.0528174990306299,15.509775004326936
718_AgGe5,AgGe5,Cmmm,0.2757923473918933,15.509775004326936
963_Pb5As,Pb5As,Cmmm,0.0730055359613004,15.509775004326936
