formula,n_distinct_space_groups,distinct_space_groups
BaV3,1,['P4/mmm']
BaV5,1,['P4/mmm']
BaW5,1,['Amm2']
Bi16I4,1,['C2/m']
BiBr,1,['P-6m2']
BiGe,1,['P4/mmm']
BiI,1,['P4/mmm']
BiP,1,['P-6m2']
Ca10Ge6,1,['I4/mcm']
Ca12Mo4,1,['Pnma']
Ca12P12,1,['Pbcm']
Ca16W4,1,['I-43m']
Ca17Nb12,1,['I-43m']
Ca18Mo6,1,['Pmmn']
Ca2As6,1,['P-1']
Ca2Br2,1,['Fd-3m']
Ca2Cr2,1,['I4_1/amd']
Ca2Cu4,1,['Pnnm']
Ca2Cu6,1,['Pm-3n']
Ca2Ga,1,['I4/mmm']
Ca2Ga2,1,['Cmcm']
Ca2In2,1,['P4/nmm']
Ca2K6,1,['Pm-3n']
Ca2Mo2,1,['Imma']
Ca2Nb,1,['Fm-3m']
Ca2Nb2,1,['Cmcm']
Ca2Nb6,1,['Cmcm']
Ca2P,1,['I4/mmm']
Ca2P2,1,['Cmcm']
Ca2Pb6,1,['Cmcm']
Ca2Pd,1,['I4/mmm']
Ca2Sb,1,['I4/mmm']
Ca2Sb2,1,['Pmma']
Ca2Sb4,1,['Cmcm']
Ca2Sn,1,['I4/mmm']
Ca2Sr,1,['I4/mmm']
Ca2Ta2,1,['I4_1/amd']
Ca2W2,1,['P4/nmm']
Ca3As,1,['P4mm']
Ca3Ga,1,['P4/mmm']
Ca3Ga8,1,['Immm']
Ca3Ir,1,['Fm-3m']
Ca3Mn,1,['Fm-3m']
Ca3Nb,1,['Pm-3m']
Ca3Ni,1,['Fm-3m']
Ca3P5,1,['Cmmm']
Ca3Rh,1,['P4/mmm']
Ca3V,1,['P4/mmm']
Ca4Cr2,1,['I4_1/amd']
Ca4Ge,1,['Im-3m']
Ca4In,1,['I4/m']
Ca4Mn4,1,['P2_13']
Ca4Mo2,1,['Cmcm']
Ca4Nb,1,['Im-3m']
Ca4P2,1,['Pnnm']
Ca4P6,1,['Fdd2']
Ca4Sb2,1,['Imma']
Ca4Ta2,1,['I4/mcm']
Ca4W2,1,['Fd-3m']
Ca4W4,1,['P2_13']
Ca5Cu3,1,['P4/mmm']
Ca5Ga3,1,['Cmmm']
Ca5Ge,1,['F-43m']
Ca5Ge24,1,['I-43m']
Ca5P3,1,['Cmmm']
Ca5Sb4,1,['I4/mmm']
Ca5Sn7,1,['I4mm']
Ca6Cr2,1,['I4/mmm']
Ca6Nb2,1,['Pm-3n']
Ca6P2,1,['Pmmn']
Ca6Ta2,1,['I4/mmm']
Ca7Ge,1,['Fm-3m']
Ca8Br16,1,['Fd-3m']
Ca8In4,1,['Pnma']
CaAs3,1,['Immm']
CaBi,1,['P-6m2']
CaBr,1,['F-43m']
CaCr,1,['Fm-3m']
CaCs,1,['R-3m']
CaFe,1,['Cmmm']
CaGa,1,['Pm-3m']
CaGa4,1,['C2/m']
CaGe3,1,['Fm-3m']
CaI3,1,['Pm-3m']
CaIr3,1,['Pm-3m']
CaK,1,['Fm-3m']
CaMn2,1,['Fmmm']
CaMn3,1,['Fm-3m']
CaMo3,1,['Pmmm']
CaNa3,1,['Imm2']
CaNb4,1,['Im-3m']
CaNi5,1,['P6/mmm']
CaNp,1,['Fm-3m']
CaP5,1,['P4/mmm']
CaPb5,1,['Amm2']
CaRh2,1,['I4/mmm']
CaRh4,1,['I4/m']
CaSb3,1,['Cmmm']
CaSn,1,['Pm-3m']
CaU,1,['Pm-3m']
CaV,1,['P-6m2']
CaW,1,['Pm-3m']
CaW2,1,['I4/mmm']
CaW4,1,['Im-3m']
Ce12Ga8,1,['P4_2/mnm']
Ce20Ir16,1,['Pnma']
Ce2Br6,1,['P6_3/m']
Ce3Sn,1,['Pm-3m']
Ce4Cu4,1,['Pnma']
Ce4Fe34,1,['P6_3/mmc']
Ce4Ge4,1,['Pnma']
Ce4Sb8,1,['Cmce']
CeAs,1,['Fm-3m']
CeBr,1,['F-43m']
CeCu5,1,['P6/mmm']
CeGa2,1,['P6/mmm']
CeGa3,1,['Fm-3m']
CeIn,1,['P-6m2']
CeMo,1,['Fm-3m']
CeNi3,1,['Pm-3m']
CePt,1,['P-6m2']
CeSb,1,['P-6m2']
CeSm,1,['Fm-3m']
CeTa,1,['P-6m2']
CeU,1,['Fm-3m']
CeU3,1,['I4/mmm']
CeV,1,['Pm-3m']
Cr10Nb6,1,['I4/mcm']
Cr12P17,1,['I-43m']
Cr12Ta12,1,['Pbcm']
Cr12Ta4,1,['Pnma']
Cr12W18,1,['P4_2/mnm']
Cr16Nb4,1,['I23']
Cr16W14,1,['P4_2/mnm']
Cr18Ta6,1,['Pmmn']
Cr20W10,1,['P4_2/mnm']
Cr24P5,1,['I-43m']
Cr26Nb2,1,['Fm-3c']
Cr2As,1,['Fmmm']
Cr2As2,1,['P4/nmm']
Cr2Bi2,1,['P6_3mc']
Cr2Na,1,['Immm']
Cr2Na6,1,['Cmcm']
Cr2Nb2,1,['Fd-3m']
Cr2Nb6,1,['Pm-3n']
Cr2Sb2,1,['P6_3/mmc']
Cr2Sn2,1,['P4/nmm']
Cr2Sr2,1,['P4/nmm']
Cr2Ta4,1,['Pnnm']
Cr2Ta6,1,['Cmcm']
Cr2W,1,['I4/mmm']
Cr2W2,1,['P4/nmm']
Cr3Br2,1,['R-3m']
Cr3P,1,['Fm-3m']
Cr3Sr,1,['P4/mmm']
Cr3W,1,['P4/mmm']
Cr4As,1,['I4/m']
Cr4Nb16,1,['I-43m']
Cr4Nb4,1,['P2_13']
Cr4P,1,['Im-3m']
Cr4P8,1,['Pa-3']
Cr4Rh,1,['I4/mmm']
Cr4Rh8,1,['I4_1/amd']
Cr4Sn8,1,['Fddd']
Cr4Sr5,1,['I4/mmm']
Cr4Ta6,1,['Fddd']
Cr5Na,1,['Amm2']
Cr5Nb24,1,['I-43m']
Cr5P24,1,['I-43m']
Cr5Rh,1,['P4/mmm']
Cr5Rh4,1,['I4/mmm']
Cr5Sr4,1,['I4/mmm']
Cr6Ge2,1,['Pm-3n']
Cr6Pb18,1,['Pmmn']
Cr6Pt2,1,['Pm-3n']
Cr6Sr2,1,['I4/mmm']
Cr6Ta18,1,['Pmmn']
Cr7Nb,1,['Fm-3m']
Cr8Nb,1,['I4/mmm']
Cr8P4,1,['Pa-3']
Cr8Pb4,1,['Pnma']
Cr8Rh,1,['I4/mmm']
Cr8Rh4,1,['I4_1/amd']
Cr8Sn,1,['I4/mmm']
Cr8Ta4,1,['Pnma']
Cr9Ga12,1,['C2/m']
CrAs3,1,['I4/mmm']
CrCu,1,['Fm-3m']
CrEu,1,['Fm-3m']
CrGa,1,['Fm-3m']
CrI2,1,['C2/m']
CrIr,1,['Fm-3m']
CrMn,1,['P-6m2']
CrMo,1,['Fm-3m']
CrNa,1,['Cmmm']
CrNb4,1,['I4/m']
CrNb5,1,['F-43m']
CrNi,1,['R-3m']
CrP,1,['Fm-3m']
CrP3,1,['Pm-3m']
CrP7,1,['Fm-3m']
CrPd,1,['Fm-3m']
CrPt3,1,['P4/mmm']
CrRh3,1,['I4/mmm']
CrRh4,1,['I4/mmm']
CrRh8,1,['I4/mmm']
CrSb,1,['F-43m']
CrSb3,1,['Pm-3m']
CrSm,1,['Fm-3m']
CrSn,1,['Pm-3m']
CrSn2,1,['I4/mmm']
CrSn4,1,['I4/m']
CrSr2,1,['I4/mmm']
CrSr3,1,['P4/mmm']
CrTa2,1,['I4/mmm']
CrTa3,1,['Immm']
CrW3,1,['P4/mmm']
CrYb,1,['F-43m']
Cs16Bi16,1,['P2_1/c']
Cs2Fe2,1,['P6_3/mmc']
Cs2Ni6,1,['P6_3/mmc']
Cs3Fe,1,['Fm-3m']
Cs3Sm,1,['Pm-3m']
Cs4I12,1,['Pnma']
Cs8Sb8,1,['P2_12_12_1']
CsAs,1,['Fm-3m']
CsI,1,['P-6m2']
CsNi,1,['Amm2']
CsP,1,['P-6m2']
CsSb,1,['P-6m2']
CsSm,1,['P-6m2']
CsSr,1,['P4/mmm']
CsV,1,['P-6m2']
Cu10Ge6,1,['I4/mcm']
Cu12Ge12,1,['Pbcm']
Cu12Ni17,1,['I-43m']
Cu12Pb12,1,['Pbcm']
Cu16In4,1,['I-43m']
Cu16Ir8,1,['Fd-3m']
Cu16Mn8,1,['Fd-3m']
Cu16Ni4,1,['I-43m']
Cu17In12,1,['I-43m']
Cu17Nb12,1,['I-43m']
Cu18As6,1,['P-3c1']
Cu24As8,1,['I-43d']
Cu24In5,1,['I-43m']
Cu2Br2,1,['Imma']
Cu2Ge,1,['I4/mmm']
Cu2Ge6,1,['I4/mmm']
Cu2I2,1,['P6_3mc']
Cu2In6,1,['Pm-3n']
Cu2Ir2,1,['Fd-3m']
Cu2K2,1,['Pmma']
Cu2K4,1,['Fd-3m']
Cu2Mn2,1,['Cmcm']
Cu2Mo2,1,['Pmmn']
Cu2Na,1,['Immm']
Cu2Ni26,1,['Fm-3c']
Cu2Pb,1,['I4/mmm']
Cu2Pt6,1,['I4/mmm']
Cu2Rh6,1,['Pmmn']
Cu2Sb2,1,['P4/nmm']
Cu2Sb6,1,['Cmcm']
Cu2Sn2,1,['P4/nmm']
Cu2Ta2,1,['P4/nmm']
Cu2Ta4,1,['Cmcm']
Cu2V,1,['I4/mmm']
Cu2W,1,['Immm']
Cu2W2,1,['Cmme']
Cu3Ga,1,['Imm2']
Cu3Ge,1,['Cmmm']
Cu3Ge4,1,['I4/mmm']
Cu3K,1,['Pm-3m']
Cu3Mo,1,['Pmmm']
Cu3Na,1,['Pmmm']
Cu3Na5,1,['Cmmm']
Cu3Sb,1,['Fm-3m']
Cu3Sn,1,['P4/mmm']
Cu3V,1,['Pm-3m']
Cu3W,1,['Cmmm']
Cu44Ni2,1,['Fd-3m']
Cu4As2,1,['P4/nmm']
Cu4Fe,1,['I4/m']
Cu4Fe6,1,['R-3c']
Cu4Fe8,1,['Pa-3']
Cu4Ga5,1,['I4/mmm']
Cu4Ge4,1,['Pnma']
Cu4In16,1,['I-43m']
Cu4Ir,1,['I4/mmm']
Cu4K16,1,['I-43m']
Cu4K2,1,['Fd-3m']
Cu4K8,1,['Pa-3']
Cu4Mn,1,['I4/m']
Cu4Mn8,1,['Pnma']
Cu4Nb2,1,['Fd-3m']
Cu4Nb4,1,['P2_13']
Cu4Ni2,1,['Fd-3m']
Cu4Pd6,1,['Fdd2']
Cu4Pd8,1,['I4_1/amd']
Cu4Pt4,1,['P-1']
Cu4Sn5,1,['I4/mmm']
Cu4Ta4,1,['P2_13']
Cu4V,1,['I4/mmm']
Cu4V2,1,['Cmcm']
Cu4W8,1,['Pa-3']
Cu4Yb2,1,['Imma']
Cu5Br,1,['Cmmm']
Cu5Br3,1,['Cmmm']
Cu5Ge,1,['P4/mmm']
Cu5Ge4,1,['I4/mmm']
Cu5P4,1,['I4/mmm']
Cu5Pb4,1,['I4/mmm']
Cu5Pt7,1,['P1']
Cu5V,1,['F-43m']
Cu6Fe2,1,['Pm-3n']
Cu6Ir2,1,['I4/mmm']
Cu6Ni2,1,['Pm-3n']
Cu6Rh2,1,['Cmcm']
Cu7As,1,['Fm-3m']
Cu7In,1,['Fm-3m']
Cu7Pt5,1,['P1']
Cu8Fe16,1,['Fd-3m']
Cu8Ge,1,['I4/mmm']
Cu8In,1,['I4/mmm']
Cu8In16,1,['Fd-3m']
Cu8Ir16,1,['Fd-3m']
Cu8P4,1,['I4_1/amd']
Cu8Pt4,1,['P-1']
Cu8Sb4,1,['Pa-3']
Cu8Sn,1,['I4/mmm']
Cu8Sn4,1,['I4_1/amd']
CuAs7,1,['Fm-3m']
CuEu,1,['Pm-3m']
CuGa4,1,['I4/m']
CuGe,1,['P4/mmm']
CuGe2,1,['I4/mmm']
CuGe3,1,['P4/mmm']
CuGe5,1,['P4/mmm']
CuI,1,['P-6m2']
CuIn3,1,['Fm-3m']
CuIn5,1,['F-43m']
CuIn7,1,['Fm-3m']
CuIr,1,['F-43m']
CuIr2,1,['I4/mmm']
CuIr3,1,['Pm-3m']
CuIr4,1,['I4/mmm']
CuK4,1,['Im-3m']
CuK7,1,['Fm-3m']
CuMn,1,['P4/mmm']
CuMn2,1,['I4/mmm']
CuMn3,1,['I4/mmm']
CuNb,1,['P4/mmm']
CuNi2,1,['I4/mmm']
CuNi4,1,['Im-3m']
CuNi5,1,['F-43m']
CuP3,1,['Imm2']
CuPb5,1,['Cmmm']
CuRb3,1,['Pm-3m']
CuRh,1,['F-43m']
CuSb2,1,['I4/mmm']
CuSn,1,['F-43m']
CuSr3,1,['P4/mmm']
CuTa,1,['P4/mmm']
CuTa3,1,['Immm']
CuV3,1,['Fm-3m']
CuW2,1,['Immm']
CuW7,1,['Fm-3m']
Eu2Ga4,1,['Imma']
Eu3As,1,['I4/mmm']
Eu3Fe,1,['Fm-3m']
Eu3Pd,1,['Pm-3m']
Eu3Sm,1,['Pm-3m']
Eu4I8,1,['P2_1/c']
Eu8Ge4,1,['Pnma']
EuGa,1,['Pm-3m']
EuGa3,1,['Fm-3m']
EuGe2,1,['P-3m1']
EuNi,1,['Fm-3m']
EuNp,1,['P4/mmm']
EuPt,1,['Fm-3m']
EuSb,1,['P-6m2']
EuTa,1,['Fm-3m']
EuTh,1,['Fm-3m']
EuU,1,['Fm-3m']
Fe10Pb6,1,['Cmcm']
Fe12Mo17,1,['I-43m']
Fe12W12,1,['Pbcm']
Fe16Na4,1,['I-43m']
Fe16Pd8,1,['Fd-3m']
Fe16W8,1,['Fd-3m']
Fe17Pb12,1,['I-43m']
Fe17Pd12,1,['I-43m']
Fe17Th2,1,['R-3m']
Fe18As6,1,['Pmmn']
Fe18Pb6,1,['Pmmn']
Fe24Pb5,1,['I-43m']
Fe26Mo2,1,['Fm-3c']
Fe26Pd2,1,['Fm-3c']
Fe2As2,1,['P4/nmm']
Fe2As4,1,['Pnnm']
Fe2Bi6,1,['P6_3/mmc']
Fe2Br4,1,['Pnnm']
Fe2Ga,1,['I4/mmm']
Fe2Ir2,1,['P4/nmm']
Fe2Mn4,1,['Fd-3m']
Fe2Mo2,1,['P4/nmm']
Fe2Mo4,1,['Fd-3m']
Fe2Mo6,1,['I4/mmm']
Fe2Na2,1,['P4/nmm']
Fe2Na6,1,['P6_3/mmc']
Fe2Nb2,1,['Imma']
Fe2Nb4,1,['Pnnm']
Fe2Nb6,1,['Pm-3n']
Fe2Pb,1,['Fm-3m']
Fe2Pb6,1,['Cmcm']
Fe2Pd2,1,['Fd-3m']
Fe2Pd26,1,['Fm-3c']
Fe2Pt,1,['P4/mmm']
Fe2Sb2,1,['Imma']
Fe2Sb4,1,['I4_1/amd']
Fe2Sb6,1,['P6_3/mmc']
Fe2Ta2,1,['Imma']
Fe2Ta6,1,['P6_3/mmc']
Fe2V,1,['Fmmm']
Fe2V2,1,['Imma']
Fe2V4,1,['Cmcm']
Fe2V6,1,['P6_3/mmc']
Fe2W,1,['P4/mmm']
Fe2W2,1,['I4_1/amd']
Fe3Bi,1,['Pm-3m']
Fe3Ga4,1,['I4/mmm']
Fe3Ge,1,['Pm-3m']
Fe3Ir,1,['P4/mmm']
Fe3Ir4,1,['I4/mmm']
Fe3K,1,['Fm-3m']
Fe3Mo,1,['Pm-3m']
Fe3Mo4,1,['I4/mmm']
Fe3Nb,1,['Fm-3m']
Fe3P,1,['Immm']
Fe3Pa,1,['Fm-3m']
Fe3Sb,1,['Imm2']
Fe3Ta,1,['P4/mmm']
Fe3V4,1,['I4/mmm']
Fe3Yb,1,['Fm-3m']
Fe44Mo2,1,['Fd-3m']
Fe4As,1,['I4/mmm']
Fe4As2,1,['Fd-3m']
Fe4As6,1,['Fdd2']
Fe4Br12,1,['Pnma']
Fe4Ga2,1,['I4/mcm']
Fe4Ga4,1,['Pnma']
Fe4Ir,1,['I4/m']
Fe4Ir8,1,['I4_1/amd']
Fe4Mn4,1,['Pnma']
Fe4Mo16,1,['I-43m']
Fe4Mo8,1,['Pa-3']
Fe4Na,1,['Im-3m']
Fe4Na2,1,['Fd-3m']
Fe4Na4,1,['P2_13']
Fe4Na8,1,['Pa-3']
Fe4Ni,1,['I4/mmm']
Fe4Pb4,1,['Pnma']
Fe4Pb6,1,['Fdd2']
Fe4Pd2,1,['Pnnm']
Fe4Pd6,1,['Fdd2']
Fe4Pt8,1,['I4_1/amd']
Fe4V12,1,['Pnma']
Fe4V2,1,['Cmcm']
Fe5As3,1,['Cmmm']
Fe5Ga4,1,['I4/mmm']
Fe5Ir,1,['P4/mmm']
Fe5Ir4,1,['I4/mmm']
Fe5Mn,1,['Amm2']
Fe5Mo,1,['F-43m']
Fe5Sb,1,['Cmmm']
Fe5Sb3,1,['Cmmm']
Fe5W,1,['Amm2']
Fe6Ga2,1,['Cmcm']
Fe6Ir2,1,['I4/mmm']
Fe6Mo2,1,['Pm-3n']
Fe6Na2,1,['Pm-3n']
Fe6Nb2,1,['I4/mmm']
Fe6P3,1,['P-62m']
Fe6Pd4,1,['Fdd2']
Fe6Sb18,1,['Pmmn']
Fe6Ta10,1,['I4/mcm']
Fe6Ta4,1,['Fdd2']
Fe6V4,1,['Fdd2']
Fe7Ge,1,['Fm-3m']
Fe7Pb,1,['Fm-3m']
Fe8As4,1,['Pa-3']
Fe8Ga4,1,['Pnma']
Fe8Ge16,1,['Cmce']
Fe8Ir,1,['I4/mmm']
Fe8Mo16,1,['Fd-3m']
Fe8Na16,1,['Fd-3m']
Fe8Pb4,1,['Pa-3']
Fe8Pd4,1,['Pa-3']
Fe8Pt,1,['I4/mmm']
Fe8Sb4,1,['Pnma']
Fe8Ta4,1,['I4_1/amd']
FeAs,1,['Pm-3m']
FeBi3,1,['Fm-3m']
FeGa,1,['R-3m']
FeGa2,1,['I4/mmm']
FeGa3,1,['I4/mmm']
FeGe3,1,['Pm-3m']
FeGe7,1,['Fm-3m']
FeI,1,['P-6m2']
FeIn,1,['P-6m2']
FeIr8,1,['I4/mmm']
FeK,1,['R-3m']
FeMn,1,['Pm-3m']
FeMn3,1,['Cmmm']
FeMn5,1,['F-43m']
FeMo,1,['Fm-3m']
FeMo2,1,['I4/mmm']
FeMo5,1,['F-43m']
FeNb,1,['P-6m2']
FeP,1,['R-3m']
FePb2,1,['Fm-3m']
FePb4,1,['I4/mmm']
FePd2,1,['Fm-3m']
FePd4,1,['Im-3m']
FePt,1,['P4/mmm']
FeRb,1,['Amm2']
FeSb3,1,['Immm']
FeSn,1,['R-3m']
FeSr,1,['P-6m2']
FeSr3,1,['P4/mmm']
FeTa,1,['R-3m']
FeTa3,1,['Immm']
FeTh,1,['Fm-3m']
FeU3,1,['Pm-3m']
FeV,1,['P-6m2']
FeV3,1,['Immm']
FeV5,1,['P4/mmm']
FeW2,1,['I4/mmm']
FeW7,1,['Fm-3m']
FeYb3,1,['Pm-3m']
Ga10Mn4,1,['P4/mbm']
Ga10V12,1,['P6_3/mmc']
Ga12Ir6,1,['Cmcm']
Ga12P17,1,['I-43m']
Ga12Pt12,1,['Pbcm']
Ga13Mn13,1,['R-3m']
Ga13Nb5,1,['Cmmm']
Ga14Pt6,1,['Im-3m']
Ga16P8,1,['Fd-3m']
Ga16Pt4,1,['I-43m']
Ga16Pt8,1,['Fd-3m']
Ga24Pt5,1,['I-43m']
Ga2As,1,['I4/mmm']
Ga2Br2,1,['Pmmn']
Ga2Br6,1,['Cmcm']
Ga2Ge6,1,['Pmmn']
Ga2In2,1,['Pmma']
Ga2K,1,['Immm']
Ga2K2,1,['Fd-3m']
Ga2Na,1,['I4/mmm']
Ga2Nb6,1,['Pm-3n']
Ga2Ni,1,['I4/mmm']
Ga2Ni6,1,['I4/mmm']
Ga2Np,1,['P6/mmm']
Ga2P2,1,['Pmmn']
Ga2P4,1,['Fd-3m']
Ga2Pd2,1,['Imma']
Ga2Pt,1,['I4/mmm']
Ga2Pt2,1,['P4/nmm']
Ga2Pt4,1,['Cmcm']
Ga2Rh,1,['I4/mmm']
Ga2Rh2,1,['Pmmn']
Ga2Sr,1,['P6/mmm']
Ga2Sr2,1,['Imma']
Ga2Sr6,1,['Cmcm']
Ga2Ta,1,['I4/mmm']
Ga2Ta6,1,['Pmmn']
Ga2Th,1,['P6/mmm']
Ga2W,1,['I4/mmm']
Ga2W6,1,['I4/mmm']
Ga32Rh6,1,['Ccce']
Ga3As,1,['Imm2']
Ga3Br,1,['Immm']
Ga3Nb,1,['I4/mmm']
Ga3P,1,['Pm-3m']
Ga3Pb,1,['P4/mmm']
Ga3Pd,1,['Imm2']
Ga3Pt5,1,['Cmmm']
Ga3Sr,1,['Cmmm']
Ga3Th,1,['Pm-3m']
Ga3V,1,['P4/mmm']
Ga3W,1,['P4/mmm']
Ga4As2,1,['I4/mcm']
Ga4In4,1,['P2_13']
Ga4Mn2,1,['Fd-3m']
Ga4Mn8,1,['Pa-3']
Ga4Na,1,['I4/mmm']
Ga4Na2,1,['I4/mcm']
Ga4Nb6,1,['Fdd2']
Ga4P3,1,['I4/mmm']
Ga4Pt4,1,['P2_13']
Ga4Sr,1,['I4/mmm']
Ga4W,1,['I4/mmm']
Ga5Br,1,['Cmmm']
Ga5Br3,1,['Cmmm']
Ga5Nb3,1,['Cmmm']
Ga5P24,1,['I-43m']
Ga5Pt,1,['Amm2']
Ga5Pt24,1,['I-43m']
Ga5Sr,1,['Cmmm']
Ga8Nb4,1,['Pnma']
Ga8Pb,1,['I4/mmm']
GaAs2,1,['I4/mmm']
GaAs3,1,['Imm2']
GaGe,1,['R-3m']
GaK3,1,['Pmm2']
GaMn,1,['Fm-3m']
GaMn5,1,['P4/mmm']
GaMo,1,['P-6m2']
GaMo2,1,['P4/mmm']
GaMo3,1,['Immm']
GaNa2,1,['I4/mmm']
GaNb,1,['R-3m']
GaNb5,1,['Cmmm']
GaNi,1,['Fm-3m']
GaP2,1,['Fm-3m']
GaP4,1,['Im-3m']
GaP7,1,['Fm-3m']
GaPb,1,['P-6m2']
GaPb3,1,['P4/mmm']
GaPb8,1,['I4/mmm']
GaPd,1,['Pm-3m']
GaPt2,1,['I4/mmm']
GaPt3,1,['Pm-3m']
GaPt4,1,['Im-3m']
GaPt5,1,['Cmmm']
GaRb,1,['R-3m']
GaRh3,1,['P4/mmm']
GaSb3,1,['Immm']
GaSr,1,['P-6m2']
GaTa2,1,['I4/mmm']
GaTh3,1,['Pm-3m']
GaU,1,['R-3m']
GaW2,1,['I4/mmm']
GaW3,1,['P4/mmm']
GaW4,1,['I4/mmm']
Ge18P6,1,['Pmmn']
Ge2As4,1,['Pnnm']
Ge2Br,1,['I4/mmm']
Ge2P6,1,['Cmcm']
Ge3As5,1,['Cmmm']
Ge3P,1,['Pmmm']
Ge4As2,1,['Pnnm']
Ge4Br2,1,['I4_1/amd']
Ge4Br5,1,['I4/mmm']
Ge4P12,1,['Pnma']
Ge4P2,1,['C2/m']
Ge5As,1,['Cmmm']
Ge5As3,1,['Cmmm']
Ge5P3,1,['Cmmm']
Ge8Br,1,['I4/mmm']
Ge8I32,1,['Pa-3']
Ge8P4,1,['Pnma']
GeAs2,1,['P4/mmm']
GeAs3,1,['Pmmm']
GeI,1,['Pm-3m']
GeP,1,['P-6m2']
GeP3,1,['Immm']
GeP5,1,['Amm2']
In10Mn6,1,['I4/mcm']
In11Sr3,1,['Immm']
In16Sn4,1,['I-43m']
In24Pt5,1,['I-43m']
In2Ge2,1,['Imma']
In2Ge4,1,['I4/mcm']
In2I2,1,['Cmcm']
In2Mn,1,['I4/mmm']
In2Mn2,1,['I4_1/amd']
In2Mn4,1,['Pnnm']
In2Mn6,1,['I4/mmm']
In2Mo2,1,['Pmma']
In2Na,1,['I4/mmm']
In2Na2,1,['P4/nmm']
In2Nb,1,['Fm-3m']
In2Ni,1,['I4/mmm']
In2P2,1,['Imma']
In2Pb2,1,['P4/nmm']
In2Pd2,1,['P4/nmm']
In2Pt,1,['Fm-3m']
In2Rh,1,['Fm-3m']
In2Sn4,1,['C2/m']
In2Ta,1,['I4/mmm']
In2W,1,['I4/mmm']
In2W4,1,['I4_1/amd']
In3Br3,1,['Cm']
In3K,1,['Cmmm']
In3Mo,1,['Pmm2']
In3Mo5,1,['Cmmm']
In3Ni,1,['Fm-3m']
In3Sm,1,['Pm-3m']
In3Sn,1,['Fm-3m']
In3V,1,['I4/mmm']
In4Br12,1,['Pnma']
In4K,1,['Im-3m']
In4Mn2,1,['Pnnm']
In4Mn4,1,['Pnma']
In4Mo,1,['I4/m']
In4Nb2,1,['I4_1/amd']
In4Pb16,1,['I-43m']
In4Pb2,1,['I4_1/amd']
In4Pt,1,['Im-3m']
In4Rh16,1,['I-43m']
In4Rh3,1,['I4/mmm']
In4W8,1,['Pnma']
In5Mo,1,['Amm2']
In5Sb,1,['P4/mmm']
In5Ta3,1,['Cmmm']
In6Mn18,1,['Pmmn']
In6Rh2,1,['Pm-3n']
InBr,1,['Fm-3m']
InBr5,1,['Amm2']
InGe,1,['P-6m2']
InGe3,1,['Cmmm']
InI,1,['R-3m']
InIr,1,['Fm-3m']
InMn,1,['P4/mmm']
InMn2,1,['I4/mmm']
InMn5,1,['Amm2']
InMo2,1,['I4/mmm']
InMo5,1,['P4/mmm']
InMo8,1,['I4/mmm']
InNa2,1,['P4/mmm']
InNa3,1,['P4/mmm']
InNb2,1,['I4/mmm']
InNi,1,['Fm-3m']
InNi2,1,['I4/mmm']
InPb2,1,['I4/mmm']
InRh4,1,['Im-3m']
InSn,1,['Pm-3m']
InSn2,1,['I4/mmm']
InSn5,1,['Cm']
InSr,1,['Fm-3m']
InTa2,1,['I4/mmm']
InTa4,1,['Im-3m']
InW,1,['P4/mmm']
InYb,1,['P4/mmm']
Ir10Rh6,1,['I4/mcm']
Ir12As17,1,['I-43m']
Ir16Mo14,1,['P4_2/mnm']
Ir16Nb8,1,['Fd-3m']
Ir16Pd8,1,['Fd-3m']
Ir17As12,1,['I-43m']
Ir18Mo6,1,['Pmmn']
Ir18Ta6,1,['Pmmn']
Ir2As4,1,['Fd-3m']
Ir2As6,1,['Pm-3n']
Ir2Mn2,1,['P4/nmm']
Ir2Mn44,1,['Fd-3m']
Ir2Mn6,1,['Pm-3n']
Ir2Mo4,1,['Pnnm']
Ir2Mo6,1,['Cmcm']
Ir2Na,1,['Immm']
Ir2Na4,1,['Cmcm']
Ir2Nb2,1,['Cmme']
Ir2Ni2,1,['Imma']
Ir2Ni4,1,['Cmcm']
Ir2Ni6,1,['Pmmn']
Ir2Pb,1,['I4/mmm']
Ir2Pb4,1,['I4/mcm']
Ir2Rh2,1,['P4/nmm']
Ir2Rh4,1,['I4_1/amd']
Ir2Rh6,1,['I4/mmm']
Ir2Sb2,1,['P4/nmm']
Ir2Ta,1,['Immm']
Ir2Ta6,1,['Pmmn']
Ir2V2,1,['I4_1/amd']
Ir2V4,1,['I4/mcm']
Ir2W4,1,['I4/mcm']
Ir3Br,1,['P4/mmm']
Ir3I,1,['Pm-3m']
Ir3K,1,['Cmmm']
Ir3Mn4,1,['I4/mmm']
Ir3Na,1,['Cmmm']
Ir3P,1,['Pm-3m']
Ir3Pb,1,['Immm']
Ir3Sr,1,['Pm-3m']
Ir3Ta,1,['Pmmm']
Ir3Ta3,1,['Cm']
Ir3Ta5,1,['Cmmm']
Ir4As12,1,['Im-3']
Ir4Mn,1,['Im-3m']
Ir4Mn3,1,['I4/mmm']
Ir4Na2,1,['Pnnm']
Ir4Nb2,1,['Pnnm']
Ir4Nb8,1,['Pa-3']
Ir4Rh,1,['I4/m']
Ir4Sn16,1,['I4_1/acd']
Ir4Ta12,1,['Pnma']
Ir4Ta4,1,['Pnma']
Ir4Ta6,1,['Fdd2']
Ir4Ta8,1,['Pnma']
Ir5As,1,['F-43m']
Ir5Mn,1,['F-43m']
Ir5Na,1,['Amm2']
