formula,n_distinct_space_groups,distinct_space_groups
Al4Pd6,2,"['Fdd2', 'R-3c']"
Al4Pt2,2,"['Cmcm', 'I4/mcm']"
Al4Sn2,2,"['Cm', 'Pnnm']"
Al5Fe,2,"['Amm2', 'Cmmm']"
Al5Sb,2,"['Cmmm', 'P4/mmm']"
Al6Ge2,2,"['P6_3/mmc', 'Pm-3n']"
Al6Rh6,2,"['I4/mmm', 'Pmmm']"
AlBa2,2,"['I4/mmm', 'P4/mmm']"
AlBa3,2,"['I4/mmm', 'P4/mmm']"
AlBr3,2,"['Fm-3m', 'P4/mmm']"
AlCu2,2,"['I4/mmm', 'Immm']"
AlIn3,2,"['Imm2', 'Pmm2']"
AlK3,2,"['Fm-3m', 'P4/mmm']"
AlMo3,2,"['Fm-3m', 'Immm']"
AlNi3,2,"['I4/mmm', 'Immm']"
AlP,2,"['Fm-3m', 'P4/mmm']"
AlPd2,2,"['I4/mmm', 'P4/mmm']"
AlRh3,2,"['P4/mmm', 'Pmmm']"
AlTa2,2,"['I4/mmm', 'P4/mmm']"
As2Br6,2,"['I4/mmm', 'Pm-3n']"
As4Br,2,"['I4/mmm', 'Im-3m']"
As4Br12,2,"['P2_12_12_1', 'Pnma']"
AsBr,2,"['P4/mmm', 'Pm-3m']"
AsBr2,2,"['I4/mmm', 'P4/mmm']"
AsBr3,2,"['P4/mmm', 'Pm-3m']"
AsBr5,2,"['Cmmm', 'P4/mmm']"
Au2Cu,2,"['I4/mmm', 'P4/mmm']"
Au2Nb3,2,"['C2/m', 'I4/mmm']"
Au2Nb4,2,"['C2/m', 'Cmcm']"
Au2Sb2,2,"['Cmcm', 'Fd-3m']"
Au3Br,2,"['Immm', 'P4/mmm']"
Au3Ga,2,"['I4/mmm', 'P4/mmm']"
Au3K,2,"['Immm', 'Pmm2']"
Au3Mn,2,"['I4/mmm', 'P4/mmm']"
Au3Nb,2,"['C2/m', 'Pmmm']"
Au3Sr,2,"['Fm-3m', 'Pm-3m']"
Au4As2,2,"['Cmcm', 'I4/mcm']"
Au5Sb,2,"['Amm2', 'F-43m']"
Au6Mn2,2,"['Cmcm', 'I4/mmm']"
AuCu,2,"['Pm-3m', 'R-3m']"
AuCu3,2,"['P4/mmm', 'Pm-3m']"
AuGa,2,"['F-43m', 'P-6m2']"
AuNi3,2,"['Imm2', 'Pmmm']"
AuP,2,"['F-43m', 'Immm']"
AuPa,2,"['Fm-3m', 'P-6m2']"
AuSb,2,"['F-43m', 'Fm-3m']"
AuSr,2,"['F-43m', 'Pm-3m']"
AuU,2,"['Fm-3m', 'Pm-3m']"
AuYb,2,"['Fm-3m', 'Pm-3m']"
Ba2As4,2,"['Cmcm', 'I4_1/amd']"
Ba2Cu4,2,"['Cmcm', 'I4/mcm']"
Ba2Ir2,2,"['Cmcm', 'Pmma']"
Ba2Pd4,2,"['Cmcm', 'Immm']"
Ba2Sn2,2,"['Cmcm', 'Pmma']"
Ba2Sn4,2,"['Cmcm', 'Imma']"
Ba2V2,2,"['I4_1/amd', 'P4/nmm']"
Ba2W2,2,"['Cmcm', 'Imma']"
Ba3Ir,2,"['Fm-3m', 'Pm-3m']"
Ba3Sr,2,"['Immm', 'Pmm2']"
Ba3Ta,2,"['Immm', 'P4/mmm']"
Ba3W,2,"['Pmm2', 'Pmmm']"
Ba4Ca2,2,"['Cmcm', 'I4_1/amd']"
Ba4Cu2,2,"['Cmc2_1', 'Pnnm']"
Ba4In2,2,"['C2/m', 'I4/mcm']"
Ba4Ta2,2,"['Cmcm', 'Pnnm']"
Ba5P,2,"['F-43m', 'P4/mmm']"
Ba5V,2,"['Cm', 'P4/mmm']"
Ba6Ga2,2,"['Cmcm', 'Pmmn']"
Ba8Cu4,2,"['Pa-3', 'Pnma']"
BaAs,2,"['Fm-3m', 'P4/mmm']"
BaBr2,2,"['Fmmm', 'I4/mmm']"
BaCu,2,"['Immm', 'Pm-3m']"
BaCu3,2,"['I4/mmm', 'Pmmm']"
BaCu5,2,"['Amm2', 'Cmmm']"
BaIn3,2,"['C2/m', 'P4/mmm']"
BaIr,2,"['F-43m', 'P4/mmm']"
BaIr2,2,"['Fm-3m', 'Fmmm']"
BaIr3,2,"['Fm-3m', 'Pm-3m']"
BaPb3,2,"['P4/mmm', 'Pmmm']"
BaPd5,2,"['Amm2', 'P6/mmm']"
BaRh3,2,"['P4/mmm', 'Pmmm']"
Ca2Cu2,2,"['Cmcm', 'P4/nmm']"
Ca2Rh,2,"['I4/mmm', 'P4/mmm']"
Ca2Rh4,2,"['I4/mcm', 'I4_1/amd']"
Ca3Mo,2,"['Cmmm', 'Imm2']"
Ca3Pb,2,"['Immm', 'Pmm2']"
Ca3W,2,"['Fm-3m', 'P4/mmm']"
CaBr3,2,"['Immm', 'Pm-3m']"
CaCu,2,"['F-43m', 'P4/mmm']"
CaNb3,2,"['Fm-3m', 'Pm-3m']"
CaP,2,"['Fm-3m', 'Immm']"
CaSb,2,"['P-6m2', 'P4/mmm']"
CaTa,2,"['Fm-3m', 'Pm-3m']"
CeBi,2,"['P-6m2', 'Pm-3m']"
Cr2As4,2,"['C2/m', 'I4_1/amd']"
Cr2Na2,2,"['Cmme', 'Pmmn']"
Cr2Nb4,2,"['Fd-3m', 'Pnnm']"
Cr2Rh2,2,"['I4_1/amd', 'P4/nmm']"
Cr2Ta2,2,"['Imma', 'P4/nmm']"
Cr3Na,2,"['Cmmm', 'Immm']"
Cr3Rh,2,"['P4/mmm', 'Pm-3m']"
Cr3Sn,2,"['I4/mmm', 'P4/mmm']"
Cr3Ta,2,"['Cmmm', 'Immm']"
Cr5Nb,2,"['Cmmm', 'F-43m']"
Cr6Ta2,2,"['Cmcm', 'Pmmn']"
CrNa3,2,"['Cmmm', 'Immm']"
CrNb,2,"['Fm-3m', 'Pm-3m']"
CrNb2,2,"['Fm-3m', 'Fmmm']"
CrRh2,2,"['I4/mmm', 'P4/mmm']"
CrU,2,"['Fm-3m', 'R-3m']"
CsCu,2,"['Fm-3m', 'Pm-3m']"
CsIr,2,"['P-6m2', 'R-3m']"
CsMn,2,"['Fm-3m', 'P-6m2']"
CsW,2,"['F-43m', 'P-6m2']"
Cu2Fe,2,"['Fmmm', 'I4/mmm']"
Cu2Fe2,2,"['Fd-3m', 'Imma']"
Cu2Ga4,2,"['Cmcm', 'Pnnm']"
Cu2Mn,2,"['I4/mmm', 'Immm']"
Cu2Ni2,2,"['Cmcm', 'Pmmn']"
Cu3Br,2,"['I4/mmm', 'Pmm2']"
Cu3Ta,2,"['Immm', 'P4/mmm']"
Cu4Ge2,2,"['I4_1/amd', 'Pnnm']"
Cu4Pt7,2,"['P-1', 'P1']"
Cu5Mn,2,"['Amm2', 'F-43m']"
Cu5Pt5,2,"['P-1', 'P1']"
Cu5W,2,"['Cmmm', 'F-43m']"
Cu6Pt4,2,"['P-1', 'P1']"
Cu6Pt5,2,"['P-1', 'P1']"
Cu6Pt6,2,"['P-1', 'P1']"
Cu8Ta4,2,"['Pa-3', 'Pnma']"
CuBr3,2,"['Imm2', 'Pmm2']"
CuFe,2,"['F-43m', 'Fm-3m']"
CuFe2,2,"['Fmmm', 'Immm']"
CuGa,2,"['F-43m', 'P-6m2']"
CuIn,2,"['F-43m', 'Fm-3m']"
CuK,2,"['P-6m2', 'Pm-3m']"
CuMo,2,"['F-43m', 'P-6m2']"
CuPb,2,"['F-43m', 'P-6m2']"
CuPb3,2,"['Immm', 'P4/mmm']"
CuSb3,2,"['I4/mmm', 'P4/mmm']"
CuTh,2,"['F-43m', 'P-6m2']"
CuW,2,"['F-43m', 'Pm-3m']"
CuW3,2,"['Cmmm', 'Pm-3m']"
CuYb,2,"['P-6m2', 'Pm-3m']"
EuMn,2,"['P-6m2', 'R-3m']"
EuNb,2,"['P-6m2', 'R-3m']"
Fe2As,2,"['I4/mmm', 'P4/mmm']"
Fe2Ga4,2,"['I4/mcm', 'I4_1/amd']"
Fe2Ir,2,"['I4/mmm', 'P4/mmm']"
Fe2Mo,2,"['Fm-3m', 'Fmmm']"
Fe2Pb4,2,"['I4/mcm', 'Pnnm']"
Fe2Pt2,2,"['Cmcm', 'P4/nmm']"
Fe2Sr6,2,"['I4/mmm', 'P6_3/mmc']"
Fe2W4,2,"['Cmcm', 'I4/mcm']"
Fe3Ga,2,"['I4/mmm', 'P4/mmm']"
Fe3Mn,2,"['I4/mmm', 'Pm-3m']"
Fe3W,2,"['Fm-3m', 'Immm']"
Fe4Pb,2,"['I4/mmm', 'Im-3m']"
Fe4Pb8,2,"['Pa-3', 'Pnma']"
Fe4Pd8,2,"['Pa-3', 'Pnma']"
Fe5Pd,2,"['Cmmm', 'F-43m']"
Fe6Sb2,2,"['Cmcm', 'Pmmn']"
Fe8W4,2,"['Pa-3', 'Pnma']"
FeAs3,2,"['Imm2', 'Pmm2']"
FeBr3,2,"['Fm-3m', 'Imm2']"
FeGe,2,"['P-6m2', 'Pm-3m']"
FeIr2,2,"['I4/mmm', 'P4/mmm']"
FeIr3,2,"['I4/mmm', 'P4/mmm']"
FeMo3,2,"['Immm', 'P4/mmm']"
FeNa,2,"['Fm-3m', 'Pm-3m']"
FeNa3,2,"['P4/mmm', 'Pm-3m']"
FeNi,2,"['Fm-3m', 'P-6m2']"
FeP5,2,"['Amm2', 'Cmmm']"
FeSb,2,"['P-6m2', 'R-3m']"
FeW,2,"['P-6m2', 'P4/mmm']"
Ga2As2,2,"['I4_1/amd', 'P4/nmm']"
Ga2Ge2,2,"['Cmcm', 'Pmmn']"
Ga2Mn4,2,"['Fd-3m', 'I4_1/amd']"
Ga2P,2,"['Fm-3m', 'I4/mmm']"
Ga3K,2,"['Cmmm', 'Pmm2']"
Ga3Na,2,"['I4/mmm', 'P4/mmm']"
Ga3Rh,2,"['I4/mmm', 'P4/mmm']"
Ga6Sb2,2,"['Cmcm', 'Pmmn']"
Ga8Pt16,2,"['Fd-3m', 'Pmma']"
GaIn,2,"['Fm-3m', 'Pm-3m']"
GaMn3,2,"['P4/mmm', 'Pm-3m']"
GaNa3,2,"['I4/mmm', 'P4/mmm']"
GaNp,2,"['P-6m2', 'R-3m']"
Ge2Br2,2,"['I4_1/amd', 'P4/nmm']"
Ge2P2,2,"['C2/m', 'Cmcm']"
Ge3Br,2,"['Fm-3m', 'P4/mmm']"
GeAs,2,"['Immm', 'P-6m2']"
In2Br2,2,"['Cmcm', 'P4/nmm']"
In2Br4,2,"['C2/m', 'Cmcm']"
In2Sn,2,"['I4/mmm', 'P4/mmm']"
In2Sn2,2,"['C2/m', 'Cmcm']"
In2Ta2,2,"['Fd-3m', 'Pmma']"
In3Sr,2,"['Imm2', 'Pm-3m']"
In3W,2,"['C2/m', 'Fm-3m']"
In4Br2,2,"['C2/m', 'Cmcm']"
In4Sn2,2,"['C2/m', 'Cm']"
In5Br,2,"['Amm2', 'Cm']"
In5Sn,2,"['Cm', 'P4/mmm']"
InBr3,2,"['Immm', 'P4/mmm']"
InK,2,"['Pm-3m', 'R-3m']"
InK2,2,"['Fm-3m', 'Immm']"
InMo,2,"['Fm-3m', 'R-3m']"
InNb,2,"['Fm-3m', 'Pm-3m']"
InNp,2,"['Fm-3m', 'R-3m']"
InP,2,"['Pm-3m', 'R-3m']"
InPd,2,"['P-6m2', 'Pm-3m']"
InPt,2,"['Fm-3m', 'Pm-3m']"
InRh,2,"['Fm-3m', 'Pm-3m']"
InRh3,2,"['Fm-3m', 'P4/mmm']"
InSb,2,"['Fm-3m', 'P4/mmm']"
InSb2,2,"['I4/mmm', 'P4/mmm']"
InTa3,2,"['P4/mmm', 'Pmm2']"
InTh,2,"['P4/mmm', 'R-3m']"
InW3,2,"['P2/m', 'Pmm2']"
Ir2Mo,2,"['Fmmm', 'Immm']"
Ir2Na2,2,"['Imma', 'Pmmn']"
Ir2Ta4,2,"['Imma', 'Pnnm']"
Ir2V,2,"['I4/mmm', 'P4/mmm']"
Ir2W2,2,"['I4_1/amd', 'P4/nmm']"
Ir3As,2,"['P4/mmm', 'Pm-3m']"
Ir3Ni,2,"['Fm-3m', 'Imm2']"
Ir3V,2,"['I4/mmm', 'P4/mmm']"
Ir3W,2,"['Cmmm', 'Pmm2']"
Ir4Ta2,2,"['Imma', 'Pnnm']"
IrMn3,2,"['P4/mmm', 'Pm-3m']"
IrP,2,"['Pm-3m', 'R-3m']"
IrTa5,2,"['C2/m', 'Cmmm']"
IrV3,2,"['I4/mmm', 'P4/mmm']"
