formula,space_group,structure,id,formation_energy
As2Br6,Pm-3n,"[{'data': {'a': [5.82076393e-10, 0, 0], 'b': [0, 5.82076393e-10, 0], 'c': [0, 0, 5.82076393e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'As'}, {'x': 2.910381965e-10, 'y': 2.910381965e-10, 'z': 2.910381965e-10, 'element': 'As'}, {'x': 4.3655729475e-10, 'y': 2.910381965e-10, 'z': 0, 'element': 'Br'}, {'x': 1.4551909825e-10, 'y': 2.910381965e-10, 'z': 0, 'element': 'Br'}, {'x': 0, 'y': 4.3655729475e-10, 'z': 2.910381965e-10, 'element': 'Br'}, {'x': 0, 'y': 1.4551909825e-10, 'z': 2.910381965e-10, 'element': 'Br'}, {'x': 2.910381965e-10, 'y': 0, 'z': 1.4551909825e-10, 'element': 'Br'}, {'x': 2.910381965e-10, 'y': 0, 'z': 4.3655729475e-10, 'element': 'Br'}]}, 'natoms': 8, 'element': {'Br': 6, 'As': 2}}]",PN_GXKOOXPKPRK3Q6WPD2ENMULYZUBC6RYN,"{'reference': {'Br': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HQMYKHP6Soitf8Zcgmf6SQ/7DmDJRePJNTiaaJiAv-YuiT0_OyO', 'As': 'https://nomad-lab.eu/prod/rae/gui/entry/id/irNjB3eBSxiA5Zsr3-mMcg/kWw6gjhjpszGSs-lJVXHTwQkY4RP'}, 'value_per_atom': 0.39037677889829947, 'value': 3.1230142311863958}"
FeV3,Immm,"[{'data': {'a': [0, 2.06085836e-10, 2.06085836e-10], 'b': [-1.53466401e-10, 2.07493187e-10, -4.13579023e-10], 'c': [-2.88266792e-10, -2.0584368999999998e-10, 2.0584368999999998e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Fe'}, {'x': -1.4703364318923742e-10, 'y': 2.054808054050846e-10, 'z': 6.05030594915392e-13, 'element': 'V'}, {'x': -1.44133396e-10, 'y': 1.2107300000001386e-13, 'z': 2.05964763e-10, 'element': 'V'}, {'x': -2.9469954981076257e-10, 'y': 2.254527594915401e-12, 'z': -2.254527594915401e-12, 'element': 'V'}]}, 'natoms': 4, 'element': {'V': 3, 'Fe': 1}}]",PN_JOGOUWNNQAPCVRQT2GLITAAOGJB6PVHP,"{'reference': {'V': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/6a_z-sYaeMtEBgvOYDzXel9FP5XK', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': -0.14309517925793713, 'value': -0.5723807170317485}"
Al2K2,Cmcm,"[{'data': {'a': [2.87880486e-10, -5.908608420000001e-10, 0], 'b': [2.87880486e-10, 5.908608420000001e-10, 0], 'c': [0, 0, 4.70864299e-10], 'atoms': [{'x': 2.87880486e-10, 'y': -4.5547134318062526e-11, 'z': 3.5314822425e-10, 'element': 'Al'}, {'x': 2.87880486e-10, 'y': 4.554713431806251e-11, 'z': 1.1771607475e-10, 'element': 'Al'}, {'x': 2.87880486e-10, 'y': -4.1283584110255345e-10, 'z': 3.5314822425e-10, 'element': 'K'}, {'x': 2.87880486e-10, 'y': 4.128358411025535e-10, 'z': 1.1771607475e-10, 'element': 'K'}]}, 'natoms': 4, 'element': {'Al': 2, 'K': 2}}]",PN_2TZSYQRYOWCFPPSVGE7U6FHHTAOIXTJ3,"{'reference': {'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-', 'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/-0vh5pzaGjLtxl6QcMcZHMEL5lI1'}, 'value_per_atom': 0.2086908182733893, 'value': 0.8347632730935572}"
Mo2Nb2,Fd-3m,"[{'data': {'a': [3.22665135e-10, -3.22665135e-10, 0], 'b': [3.22665135e-10, 3.22665135e-10, 0], 'c': [0, 3.22665135e-10, 3.22665135e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Mo'}, {'x': 1.613325675e-10, 'y': 1.613325675e-10, 'z': 1.613325675e-10, 'element': 'Mo'}, {'x': 4.839977025e-10, 'y': 1.613325675e-10, 'z': 1.613325675e-10, 'element': 'Nb'}, {'x': 3.22665135e-10, 'y': 0, 'z': 0, 'element': 'Nb'}]}, 'natoms': 4, 'element': {'Mo': 2, 'Nb': 2}}]",PN_DKL5W73HAWMEVA64JVI47S5CVI3UBDTY,"{'reference': {'Mo': 'https://nomad-lab.eu/prod/rae/gui/entry/id/miRFVZUUSvmc1uMMJkU4LA/TwiQxc0usHCKW3MtmHjbnh8mT5GC', 'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr'}, 'value_per_atom': -0.0888018466548317, 'value': -0.3552073866193268}"
FeIr2,P4/mmm,"[{'data': {'a': [4.1277924199999996e-10, 0, 0], 'b': [0, 4.1277924199999996e-10, 0], 'c': [0, 0, 2.6754979e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Fe'}, {'x': 0, 'y': 2.0638962099999998e-10, 'z': 1.33774895e-10, 'element': 'Ir'}, {'x': 2.0638962099999998e-10, 'y': 0, 'z': 1.33774895e-10, 'element': 'Ir'}]}, 'natoms': 3, 'element': {'Ir': 2, 'Fe': 1}}]",PN_2DHPP5DSDAZ3GM5UWVQXYJ3Q6WIKS25Y,"{'reference': {'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/R5T_c-b5R-aSPQN6iXJv2A/Jxd3Gq7w7vgx3vAf4QaOcIUrNIvf', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.6576265748458093, 'value': 1.972879724537428}"
Ag4Al,I4/m,"[{'data': {'a': [4.1179069400000003e-10, 2.23525e-13, 2.0531000000000002e-14], 'b': [-2.05644865e-10, 4.5816433400000003e-10, -4.2950000000000004e-13], 'c': [-2.0587183800000002e-10, -5.30395e-13, 4.58269826e-10], 'atoms': [{'x': 2.0616436646285614e-10, 'y': 4.55541036521487e-10, 'z': -4.5867126910220054e-14, 'element': 'Ag'}, {'x': 2.0595661013551325e-10, 'y': 9.197147422379404e-11, 'z': 1.8604401501852348e-10, 'element': 'Ag'}, {'x': 1.1723686448676628e-13, 'y': 1.82603587176206e-10, 'z': 3.6365081958147656e-10, 'element': 'Ag'}, {'x': 1.3645353714388096e-13, 'y': 2.7772875387851314e-10, 'z': 9.104137572691022e-11, 'element': 'Ag'}, {'x': -2.05680856e-10, 'y': 3.6625793520000006e-10, 'z': 2.746224018e-10, 'element': 'Al'}]}, 'natoms': 5, 'element': {'Ag': 4, 'Al': 1}}]",PN_WDOV4KCOXA5MNEEKKJZCKCTLD4YNHZ7C,"{'reference': {'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr', 'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-'}, 'value_per_atom': -0.042324828795161196, 'value': -0.21162414397580598}"
AlSr3,Immm,"[{'data': {'a': [-2.0669429500000002e-10, 3.10292587e-10, 6.58178898e-10], 'b': [2.0669429500000002e-10, -3.10292587e-10, 6.58178898e-10], 'c': [2.0669429500000002e-10, 3.10292587e-10, -6.58178898e-10], 'atoms': [{'x': 0, 'y': 3.10292587e-10, 'z': 0, 'element': 'Al'}, {'x': 3.346574673151722e-27, 'y': 1.4403788090495593e-27, 'z': 3.976517473509906e-10, 'element': 'Sr'}, {'x': 8.127263595231498e-27, 'y': -5.740380460803728e-27, 'z': 9.187060486490094e-10, 'element': 'Sr'}, {'x': 2.0669429500000002e-10, 'y': 0, 'z': 0, 'element': 'Sr'}]}, 'natoms': 4, 'element': {'Al': 1, 'Sr': 3}}]",PN_DROYA75QXHY7CVA4MDCXIIRTK5HSSTSO,"{'reference': {'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-', 'Sr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/9CyQcCUbCgpVbqUi9LKvMkTBuex3'}, 'value_per_atom': 0.008184256181573257, 'value': 0.03273702472629303}"
Ba4Ta2,Pnnm,"[{'data': {'a': [3.45971066e-10, 0, 0], 'b': [0, 8.3903348e-10, 0], 'c': [0, 0, 8.484248490000001e-10], 'atoms': [{'x': 0, 'y': 1.741406352535332e-10, 'z': 5.783664683841457e-10, 'element': 'Ba'}, {'x': 0, 'y': 6.648928447464668e-10, 'z': 2.7005838061585444e-10, 'element': 'Ba'}, {'x': 1.72985533e-10, 'y': 5.936573752535332e-10, 'z': 6.942708051158545e-10, 'element': 'Ba'}, {'x': 1.72985533e-10, 'y': 2.453761047464668e-10, 'z': 1.5415404388414561e-10, 'element': 'Ba'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Ta'}, {'x': 1.72985533e-10, 'y': 4.1951674e-10, 'z': 4.2421242450000005e-10, 'element': 'Ta'}]}, 'natoms': 6, 'element': {'Ta': 2, 'Ba': 4}}]",PN_TSUBVSVAB6CS5H3CILXT4AQXHUV7E55Q,"{'reference': {'Ta': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HFcfn7V1T0qqPvWety_q2w/Jno4RsivxTTSMHe4wn8p4qW8Ef6G', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5'}, 'value_per_atom': 1.243786268910301, 'value': 7.462717613461805}"
Ir3Ni,Fm-3m,"[{'data': {'a': [0, 3.03901342e-10, 3.03901342e-10], 'b': [3.03901342e-10, 0, 3.03901342e-10], 'c': [3.03901342e-10, 3.03901342e-10, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Ir'}, {'x': 1.5195019691390648e-10, 'y': 1.5195019691390648e-10, 'z': 1.5195019691390648e-10, 'element': 'Ir'}, {'x': 3.0390139670224156e-10, 'y': 3.0390139670224156e-10, 'z': 3.0390139670224156e-10, 'element': 'Ir'}, {'x': 4.558515996941749e-10, 'y': 4.558515996941749e-10, 'z': 4.558515996941749e-10, 'element': 'Ni'}]}, 'natoms': 4, 'element': {'Ir': 3, 'Ni': 1}}]",PN_KWRN53IBKFU6E26SH244CXDFNWTJOUXQ,"{'reference': {'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/ZSkjUMpbN2AOUp4s7d76eqTlQj6D', 'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/6ITh58J5QcGWUDsmpR9t2A/DW3mGBiIv6M10SVC39rmNQ3rZWvj'}, 'value_per_atom': 0.38060971198063065, 'value': 1.5224388479225226}"
PbAs3,Immm,"[{'data': {'a': [-1.78661331e-10, 2.65546791e-10, 4.83194611e-10], 'b': [1.78661331e-10, -2.65546791e-10, 4.83194611e-10], 'c': [1.78661331e-10, 2.65546791e-10, -4.83194611e-10], 'atoms': [{'x': 5.51015663307082e-28, 'y': 4.251585226821462e-11, 'z': -4.2347513944267705e-11, 'element': 'As'}, {'x': -1.2373681407833976e-26, 'y': 4.251585226821464e-11, 'z': 5.255421249442677e-10, 'element': 'As'}, {'x': 5.7552006365262814e-27, 'y': 3.122919167225627e-10, 'z': 2.415973055e-10, 'element': 'As'}, {'x': 1.78661331e-10, 'y': 4.525436197069613e-11, 'z': 2.4159730550000004e-10, 'element': 'Pb'}]}, 'natoms': 4, 'element': {'As': 3, 'Pb': 1}}]",PN_AECE2QJAMVHY72JQZCJ7VLJVE77C6K5W,"{'reference': {'As': 'https://nomad-lab.eu/prod/rae/gui/entry/id/irNjB3eBSxiA5Zsr3-mMcg/kWw6gjhjpszGSs-lJVXHTwQkY4RP', 'Pb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/gsAlmK4OTCGsgQBj4SzPwA/aYJtYKNr85nM-0acWcW3IEbYkJ65'}, 'value_per_atom': 0.2533125639682092, 'value': 1.013250255872837}"
Ba2Cu,I4/mmm,"[{'data': {'a': [-2.0302242800000002e-10, 2.0302242800000002e-10, 7.478426340000001e-10], 'b': [2.0302242800000002e-10, -2.0302242800000002e-10, 7.478426340000001e-10], 'c': [2.0302242800000002e-10, 2.0302242800000002e-10, -7.478426340000001e-10], 'atoms': [{'x': -9.829276672903968e-27, 'y': 9.829276672903968e-27, 'z': 1.434838413158184e-09, 'element': 'Ba'}, {'x': 3.6729974730146496e-28, 'y': -3.6729974730146496e-28, 'z': 1.0579703568705811e-09, 'element': 'Ba'}, {'x': -4.7309884628012515e-27, 'y': 4.7309884628012515e-27, 'z': 4.985617510143825e-10, 'element': 'Cu'}]}, 'natoms': 3, 'element': {'Cu': 1, 'Ba': 2}}]",PN_J7GR4S2DZ3OKT3NLKQABG7O7IC4DJEZF,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5'}, 'value_per_atom': 0.02518091378089397, 'value': 0.07554274134268191}"
BaSn5,Cmmm,"[{'data': {'a': [2.60475338e-10, -6.46755767e-10, 0], 'b': [2.60475338e-10, 6.46755767e-10, 0], 'c': [0, 0, 5.46622148e-10], 'atoms': [{'x': 2.60475338e-10, 'y': -6.108630597064538e-10, 'z': 0, 'element': 'Ba'}, {'x': 2.60475338e-10, 'y': -3.779678472884793e-10, 'z': 2.73311074e-10, 'element': 'Sn'}, {'x': 2.60475338e-10, 'y': -2.0958151673911815e-10, 'z': 0, 'element': 'Sn'}, {'x': 2.60475338e-10, 'y': 3.6160968650582454e-11, 'z': 2.73311074e-10, 'element': 'Sn'}, {'x': 2.60475338e-10, 'y': 2.813352661638582e-10, 'z': 0, 'element': 'Sn'}, {'x': 2.60475338e-10, 'y': 4.4974566896286706e-10, 'z': 2.73311074e-10, 'element': 'Sn'}]}, 'natoms': 6, 'element': {'Sn': 5, 'Ba': 1}}]",PN_6R6YDGCQRHG645I2FZARBTELDK232RGG,"{'reference': {'Sn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/OAw0poj5HN3ZrB-djDMlDbA7-aNL', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5'}, 'value_per_atom': -0.2591177009516817, 'value': -1.5547062057100902}"
In2Sn,I4/mmm,"[{'data': {'a': [-1.89925247e-10, 1.89925247e-10, 5.7194237e-10], 'b': [1.89925247e-10, -1.89925247e-10, 5.7194237e-10], 'c': [1.89925247e-10, 1.89925247e-10, -5.7194237e-10], 'atoms': [{'x': 1.8947128162577062e-31, 'y': -1.8947128162577062e-31, 'z': -2.66296367472e-14, 'element': 'In'}, {'x': 4.962499676781941e-27, 'y': -4.962499676781941e-27, 'z': 7.626164486775156e-10, 'element': 'In'}, {'x': 4.0016283576497164e-27, 'y': -4.0016283576497164e-27, 'z': 3.812949095203842e-10, 'element': 'Sn'}]}, 'natoms': 3, 'element': {'In': 2, 'Sn': 1}}]",PN_K67OJBCNBR2MJJWCDNVOY572V75UPAUK,"{'reference': {'In': 'https://nomad-lab.eu/prod/rae/gui/entry/id/Zqtd881RT5CfgKZ3B6_mTg/jidMzp8f26ns8Jif2fj8Gy8eG6id', 'Sn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/OAw0poj5HN3ZrB-djDMlDbA7-aNL'}, 'value_per_atom': 0.011615600219182435, 'value': 0.034846800657547305}"
BaIr3,Pm-3m,"[{'data': {'a': [5.29623062e-10, 0, 0], 'b': [0, 5.29623062e-10, 0], 'c': [0, 0, 5.29623062e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Ba'}, {'x': 2.64811531e-10, 'y': 0, 'z': 0, 'element': 'Ir'}, {'x': 0, 'y': 2.64811531e-10, 'z': 0, 'element': 'Ir'}, {'x': 0, 'y': 0, 'z': 2.64811531e-10, 'element': 'Ir'}]}, 'natoms': 4, 'element': {'Ir': 3, 'Ba': 1}}]",PN_PKXZIZGRAC26PBRVU4LHQWTU4UBWHXVU,"{'reference': {'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/R5T_c-b5R-aSPQN6iXJv2A/Jxd3Gq7w7vgx3vAf4QaOcIUrNIvf', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5'}, 'value_per_atom': 3.6400044468240753, 'value': 14.560017787296301}"
Au12Nb12,Pbcm,"[{'data': {'a': [9.837259660000001e-10, 0, 0], 'b': [0, 8.155977590000002e-10, 0], 'c': [0, 0, 5.45234065e-10], 'atoms': [{'x': 1.3159202890859435e-10, 'y': 7.277526115941771e-10, 'z': 1.3630851625e-10, 'element': 'Au'}, {'x': 8.521339370914058e-10, 'y': 8.784514740582317e-11, 'z': 4.0892554875e-10, 'element': 'Au'}, {'x': 8.521339370914058e-10, 'y': 3.199537320941769e-10, 'z': 1.3630851625e-10, 'element': 'Au'}, {'x': 1.3159202890859435e-10, 'y': 4.956440269058232e-10, 'z': 4.0892554875e-10, 'element': 'Au'}, {'x': 4.2662652663105317e-10, 'y': 3.6864991792073964e-10, 'z': 1.3630851625e-10, 'element': 'Au'}, {'x': 5.57099439368947e-10, 'y': 4.469478410792606e-10, 'z': 4.0892554875e-10, 'element': 'Au'}, {'x': 5.57099439368947e-10, 'y': 7.764487974207397e-10, 'z': 1.3630851625e-10, 'element': 'Au'}, {'x': 4.2662652663105317e-10, 'y': 3.914896157926048e-11, 'z': 4.0892554875e-10, 'element': 'Au'}, {'x': 8.449511537408005e-11, 'y': 2.0389943975000004e-10, 'z': 0, 'element': 'Au'}, {'x': 8.992308506259201e-10, 'y': 6.116983192500001e-10, 'z': 2.726170325e-10, 'element': 'Au'}, {'x': 8.992308506259201e-10, 'y': 6.116983192500001e-10, 'z': 0, 'element': 'Au'}, {'x': 8.449511537408005e-11, 'y': 2.0389943975000004e-10, 'z': 2.726170325e-10, 'element': 'Au'}, {'x': 1.6021658543985895e-10, 'y': 4.423456757605288e-10, 'z': 1.3630851625e-10, 'element': 'Nb'}, {'x': 8.235093805601412e-10, 'y': 3.7325208323947134e-10, 'z': 4.0892554875e-10, 'element': 'Nb'}, {'x': 8.235093805601412e-10, 'y': 3.454679626052877e-11, 'z': 1.3630851625e-10, 'element': 'Nb'}, {'x': 1.6021658543985895e-10, 'y': 7.810509627394714e-10, 'z': 4.0892554875e-10, 'element': 'Nb'}, {'x': 3.2464820054979604e-10, 'y': 1.140977385681566e-10, 'z': 1.3630851625e-10, 'element': 'Nb'}, {'x': 6.59077765450204e-10, 'y': 7.015000204318436e-10, 'z': 4.0892554875e-10, 'element': 'Nb'}, {'x': 6.59077765450204e-10, 'y': 5.218966180681567e-10, 'z': 1.3630851625e-10, 'element': 'Nb'}, {'x': 3.2464820054979604e-10, 'y': 2.9370114093184346e-10, 'z': 4.0892554875e-10, 'element': 'Nb'}, {'x': 6.182333748065472e-10, 'y': 2.0389943975000004e-10, 'z': 0, 'element': 'Nb'}, {'x': 3.6549259119345304e-10, 'y': 6.116983192500001e-10, 'z': 2.726170325e-10, 'element': 'Nb'}, {'x': 3.6549259119345304e-10, 'y': 6.116983192500001e-10, 'z': 0, 'element': 'Nb'}, {'x': 6.182333748065472e-10, 'y': 2.0389943975000004e-10, 'z': 2.726170325e-10, 'element': 'Nb'}]}, 'natoms': 24, 'element': {'Au': 12, 'Nb': 12}}]",PN_YRD52ZY677HFO3YD4FKYFTSNNRUPDESL,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr'}, 'value_per_atom': 0.022978525565798453, 'value': 0.5514846135791629}"
Mn2V,I4/mmm,"[{'data': {'a': [-2.84710042e-10, 0, 0], 'b': [-1.42355021e-10, 2.0262049200000002e-10, -4.01410481e-10], 'c': [0, -4.00905905e-10, -4.0315837500000003e-10], 'atoms': [{'x': -1.4235502098329076e-18, 'y': 3.478141840807334e-11, 'z': -1.1901258537034717e-12, 'element': 'Mn'}, {'x': -2.847100405764498e-10, 'y': -1.6673085868707374e-10, 'z': -6.02187967562885e-10, 'element': 'Mn'}, {'x': -2.84710042e-10, 'y': -1.656101052310801e-10, 'z': -2.0282955966118252e-10, 'element': 'Mn'}, {'x': -2.84710042e-10, 'y': 3.3660664952079714e-11, 'z': -4.0054853375540597e-10, 'element': 'Mn'}, {'x': -1.423550224235502e-10, 'y': -1.66000506086748e-10, 'z': -4.025809444103491e-10, 'element': 'V'}, {'x': -1.4235501957644977e-10, 'y': 3.4051069816806654e-11, 'z': -2.007971449746556e-10, 'element': 'V'}]}, 'natoms': 6, 'element': {'Mn': 4, 'V': 2}}]",PN_ZJIZLJ7POKMY42X5IOVLJJD33SIAHEBX,"{'reference': {'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'V': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/6a_z-sYaeMtEBgvOYDzXel9FP5XK'}, 'value_per_atom': -0.0787711534141972, 'value': -0.4726269204851832}"
FeIr8,I4/mmm,"[{'data': {'a': [0, 3.84069008e-10, 0], 'b': [0, 1.92034504e-10, 5.7597975e-10], 'c': [5.7597975e-10, -1.92034504e-10, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Fe'}, {'x': 1.8892987098070503e-10, 'y': 1.92034504e-10, 'z': 0, 'element': 'Ir'}, {'x': 3.8704987901929503e-10, 'y': 1.2151947533210108e-26, 'z': 0, 'element': 'Ir'}, {'x': 1.9024641093447e-10, 'y': 2.0848678462124834e-28, 'z': 1.9024641093447e-10, 'element': 'Ir'}, {'x': 0, 'y': 1.9203450400000002e-10, 'z': 1.8892987098070503e-10, 'element': 'Ir'}, {'x': 3.8573333906553004e-10, 'y': 1.92034504e-10, 'z': 1.9024641093447e-10, 'element': 'Ir'}, {'x': 0, 'y': 3.84069008e-10, 'z': 3.8704987901929503e-10, 'element': 'Ir'}, {'x': 3.8573333906553004e-10, 'y': 1.2716210286519809e-26, 'z': 3.8573333906553004e-10, 'element': 'Ir'}, {'x': 1.9024641093447e-10, 'y': 1.9203450400000002e-10, 'z': 3.8573333906553004e-10, 'element': 'Ir'}]}, 'natoms': 9, 'element': {'Ir': 8, 'Fe': 1}}]",PN_Y5BA45RWZYTEPP7PLCG7AUHJ3RSYZ7GR,"{'reference': {'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/R5T_c-b5R-aSPQN6iXJv2A/Jxd3Gq7w7vgx3vAf4QaOcIUrNIvf', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.005633813092395535, 'value': 0.05070431783155982}"
Au2Nb4,Cmcm,"[{'data': {'a': [2.42392069e-10, -4.5789590000000003e-10, 0], 'b': [2.42392069e-10, 4.5789590000000003e-10, 0], 'c': [0, 0, 4.908779949999999e-10], 'atoms': [{'x': 1.0532464297544559e-10, 'y': 2.1198446810776617e-27, 'z': 1.2271949874999998e-10, 'element': 'Au'}, {'x': 3.794594950245544e-10, 'y': 2.3945082255809054e-26, 'z': 3.6815849624999994e-10, 'element': 'Au'}, {'x': 3.523764086314878e-10, 'y': 1.56303186729228e-10, 'z': 1.2271949874999998e-10, 'element': 'Nb'}, {'x': 1.3240772936851223e-10, 'y': -1.5630318672922801e-10, 'z': 3.6815849624999994e-10, 'element': 'Nb'}, {'x': 3.523764086314878e-10, 'y': -1.5630318672922801e-10, 'z': 1.2271949874999998e-10, 'element': 'Nb'}, {'x': 1.3240772936851223e-10, 'y': 1.5630318672922801e-10, 'z': 3.6815849624999994e-10, 'element': 'Nb'}]}, 'natoms': 6, 'element': {'Au': 2, 'Nb': 4}}]",PN_FHWHYWEVSNWFB7ESZDDAU7H47DOGVZXP,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr'}, 'value_per_atom': 0.05452371988944549, 'value': 0.3271423193366729}"
Ta2Ge2,Cmcm,"[{'data': {'a': [1.65969958e-10, -4.71472608e-10, 0], 'b': [1.65969958e-10, 4.71472608e-10, 0], 'c': [0, 0, 4.33802612e-10], 'atoms': [{'x': 1.65969958e-10, 'y': -8.3710904495616e-11, 'z': 3.25351959e-10, 'element': 'Ge'}, {'x': 1.65969958e-10, 'y': 8.3710904495616e-11, 'z': 1.08450653e-10, 'element': 'Ge'}, {'x': 1.6596995800000004e-10, 'y': -3.4463466134444354e-10, 'z': 3.25351959e-10, 'element': 'Ta'}, {'x': 1.65969958e-10, 'y': 3.4463466134444354e-10, 'z': 1.08450653e-10, 'element': 'Ta'}]}, 'natoms': 4, 'element': {'Ta': 2, 'Ge': 2}}]",PN_FB3OPCZO5RVLUHSY6HMKTHEGSVVHPMSQ,"{'reference': {'Ta': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HFcfn7V1T0qqPvWety_q2w/Jno4RsivxTTSMHe4wn8p4qW8Ef6G', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': -0.06280350191734207, 'value': -0.2512140076693683}"
