formula,space_group,count,median,median_cif_name,other_cif_names
Fe2Ir,I4/mmm,3,0.0969417910180017,0673_Fe2Ir.cif,1921_Fe2Ir.cif;4866_Fe2Ir.cif
Fe2Ir2,P4/nmm,3,0.095469058522756,0755_Fe2Ir2.cif,0782_Fe2Ir2.cif;4976_Fe2Ir2.cif
Fe2Pt2,P4/nmm,3,0.0783132292381125,2062_Fe2Pt2.cif,2345_Fe2Pt2.cif;2363_Fe2Pt2.cif
Fe3As,Cmmm,3,0.1791333723670165,2432_Fe3As.cif,0174_Fe3As.cif;1159_Fe3As.cif
Fe3Ir,P4/mmm,3,-0.0421983063443285,1727_Fe3Ir.cif,2138_Fe3Ir.cif;3561_Fe3Ir.cif
Fe3Pd,Pm-3m,3,0.0574203385382343,2145_Fe3Pd.cif,0799_Fe3Pd.cif;3462_Fe3Pd.cif
Fe4W2,Cmcm,3,0.1247923180939961,1862_Fe4W2.cif,1563_Fe4W2.cif;1976_Fe4W2.cif
FeIr2,I4/mmm,3,0.016372947711981,0781_FeIr2.cif,0061_FeIr2.cif;0627_FeIr2.cif
FePb3,Pm-3m,3,0.8225211552662088,1260_FePb3.cif,0242_FePb3.cif;1755_FePb3.cif
FePd3,Pm-3m,3,-0.1061349423812592,0296_FePd3.cif,0329_FePd3.cif;2139_FePd3.cif
FeV3,Immm,3,-0.1426573123202441,1580_FeV3.cif,1643_FeV3.cif;2595_FeV3.cif
GaAs2,I4/mmm,3,0.1932450326482199,0958_GaAs2.cif,0745_GaAs2.cif;1546_GaAs2.cif
In2Br2,Cmcm,3,-0.8172334018909813,0488_In2Br2.cif,1564_In2Br2.cif;2303_In2Br2.cif
In2Sn4,C2/m,3,0.0010884922752308,0020_In2Sn4.cif,0523_In2Sn4.cif;0554_In2Sn4.cif
Ir3V,P4/mmm,3,-0.0227992056291768,2463_Ir3V.cif,0191_Ir3V.cif;2216_Ir3V.cif
IrBr3,P4/mmm,3,1.0878837307028393,2471_IrBr3.cif,0387_IrBr3.cif;2136_IrBr3.cif
K3Na,P4/mmm,3,0.0088293019136178,0566_K3Na.cif,0201_K3Na.cif;0991_K3Na.cif
K3P,Pm-3m,3,-0.030217587200664,4031_K3P.cif,3157_K3P.cif;4600_K3P.cif
KNa2,I4/mmm,3,0.0142078707647042,2018_KNa2.cif,2064_KNa2.cif;2286_KNa2.cif
KP3,Cmmm,3,0.5600689693530976,1259_KP3.cif,2218_KP3.cif;2647_KP3.cif
Mn2Sb2,Cmcm,3,0.2133661323603402,4069_Mn2Sb2.cif,3276_Mn2Sb2.cif;4004_Mn2Sb2.cif
Mn2V,I4/mmm,3,-0.0755313052708371,2205_Mn2V.cif,2178_Mn2V.cif;2609_Mn2V.cif
Mo2Pb4,Cmcm,3,0.5704802408949945,1545_Mo2Pb4.cif,1517_Mo2Pb4.cif;2046_Mo2Pb4.cif
Mo2Sr2,P4/nmm,3,0.5498863203754158,2119_Mo2Sr2.cif,0714_Mo2Sr2.cif;2564_Mo2Sr2.cif
MoNb,Pm-3m,3,-0.1312283059431038,2008_MoNb.cif,1537_MoNb.cif;1636_MoNb.cif
MoSr2,I4/mmm,3,0.9515306066991656,0794_MoSr2.cif,1101_MoSr2.cif;3823_MoSr2.cif
MoTa2,I4/mmm,3,-0.1505603280492735,0534_MoTa2.cif,0379_MoTa2.cif;2126_MoTa2.cif
Nb2V,I4/mmm,3,0.0508710542785048,0822_Nb2V.cif,0337_Nb2V.cif;2538_Nb2V.cif
