cif_name,formula,space_group,value per atom,value,id
2966_V2W2.cif,V2W2,Cmcm,0.5402600457808884,2.161040183123553,PN_H5VKMZN52KQICN3NNBH7H6WZ4GD37FN2
2967_Fe2Pt2.cif,Fe2Pt2,Cmcm,-0.1192493888161649,-0.4769975552646599,PN_GWJNIHKQHAA5GK7WMNQXOVFVUDZRELPT
2968_Au3Nb3.cif,Au3Nb3,Cm,-0.0151428426324133,-0.0908570557944798,PN_VY7T5JIUCQ6SXMBDD4WLOCLPEOP7NIKI
2969_Mo2W4.cif,Mo2W4,I4_1/amd,0.7285978333137137,4.3715869998822825,PN_QVLLTBDDZQD7BDQ6CNYWHW2UWXX5KX6U
2970_Ca5Sb4.cif,Ca5Sb4,I4/mmm,-0.541558037310753,-4.874022335796777,PN_GFKRCBIHHU2CKDMO7AGB3JY7TVPXB5AT
2972_Pt6V2.cif,Pt6V2,Pm-3n,-0.2525866931293699,-2.020693545034959,PN_Z3WEMCW5GY2LGKP2AONX6GZL6DKTEO37
2973_Pt4V2.cif,Pt4V2,Cmcm,-0.3127411383683641,-1.8764468302101849,PN_KY3VQWY4Z27XG6RROFP3SBZPIC7J6I27
2974_NbNi.cif,NbNi,P4/mmm,-0.040611249024244,-0.0812224980484881,PN_HGVQM2B2M4OQNWOGKTVB25UVPJDM7UT4
2975_K16Sn8.cif,K16Sn8,Fd-3m,-0.1665311182987367,-3.996746839169681,PN_LIW7SSYCNH4UZA7T2WPZ3CMPAHIZTFWK
2976_Al2Ba.cif,Al2Ba,I4/mmm,0.0014818998829161,0.0044456996487483,PN_CTC5V2YMUTCLLVNGF4JHJTAFGUXE2CMJ
2977_Mo2P4.cif,Mo2P4,I4/mcm,-0.3509871447025444,-2.1059228682152664,PN_HRQERMJEDJROHEIJHZD54GUSDEESZUGO
2978_Ir3Pb.cif,Ir3Pb,Immm,0.5577657850855182,2.231063140342073,PN_7G37ID5OTOWUGJBMNVIW4LTHTKX2MM7S
2980_BaCu.cif,BaCu,Pm-3m,0.0764343314651374,0.1528686629302749,PN_JLZZG5JUZLQ2ENTVT3YQKNV7X2VHYESH
2981_VW7.cif,VW7,Fm-3m,0.4516883622280989,3.613506897824792,PN_H2KJXKTQOZEOJOFM6CROP4A45K55TX7L
2982_FePt3.cif,FePt3,Cmmm,0.1121834255869433,0.4487337023477735,PN_OY4T2NIGM3JDERRJSYUF4MR3LLUXI5QO
