file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R
138_Ge2As4,Ge2As4,Pnnm,0.1196947121736281,GeAs2,3952.993124874148,3314.357218882144
141_CeBr,CeBr,F-43m,-0.8023102457033016,CeBr,7248.364694118718,4480.034542314335
142_Ce12Ga8,Ce12Ga8,P4_2/mnm,-0.4472578612747064,Ce3Ga2,8503.590606544549,2801.077181963365
143_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4142137698980046,BaPt,4467.189713938467,6290.756021912633
144_CaRh4,CaRh4,I4/m,-0.0123593460472001,CaRh4,3262.108921850786,7423.274297099845
145_Cu4Fe8,Cu4Fe8,Pa-3,0.9290346282517644,Fe2Cu,2109.895227008149,1436.263096623981
146_RbRh,RbRh,P-6m2,1.0519039009339617,RbRh,4470.40212174443,7092.569913039693
147_Cu2Ni26,Cu2Ni26,Fm-3c,0.2677396298890073,CuNi13,1046.128037619038,1500.0
149_PdRh2,PdRh2,I4/mmm,0.0679740127382568,PdRh2,3200.0,8000.0
150_YbP,YbP,R-3m,-0.8482652900103984,YbP,8361.335565195843,3403.643849281109
151_Ir2Mo4,Ir2Mo4,Pnnm,0.2558778878110732,Mo2Ir,3951.359942931083,7201.667026818746
152_Ni2As6,Ni2As6,I4/mmm,0.2952248090641767,NiAs3,2823.757576954909,3482.345192342293
153_Al3V,Al3V,I4/mmm,-0.2967745434488575,Al3V,2256.631287339801,1927.008876244424
154_Pd2Ta2,Pd2Ta2,P4/nmm,-0.3618708831950421,TaPd,2633.294034114042,5985.045454627705
155_NiAs3,NiAs3,P4/mmm,0.142732757003877,NiAs3,2823.757576954909,3482.345192342293
157_Ag3Al4,Ag3Al4,P-1,0.003962790239954,Al4Ag3,1300.040289874645,1299.959710125356
158_Cu2Ge4,Cu2Ge4,Pnnm,0.1885786881460269,CuGe2,4174.085602367521,1778.279524580273
159_CrMn,CrMn,P-6m2,0.2433130873062836,MnCr,2329.366190752262,2918.361492486801
160_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4579160620289459,BaPt,4467.189713938467,6290.756021912633
161_Ni2Ta4,Ni2Ta4,Fd-3m,0.6395073564584782,Ta2Ni,2118.584435224151,4339.483566338229
162_FeAs3,FeAs3,Imm2,0.0881821666677709,FeAs3,3120.888293994009,3482.566182649359
163_As3Br,As3Br,P4/mmm,0.2126619543483046,As3Br,3300.0,4760.568853784831
164_Mo3P,Mo3P,Fm-3m,0.0756003152457989,Mo3P,2361.136301029629,5280.568150514814
165_Ni2Sn,Ni2Sn,I4/mmm,-0.1054898433116857,Ni2Sn,1804.483584699157,1550.280224043697
166_K4Sn2,K4Sn2,Pnnm,0.0339120821430973,K2Sn,2242.587196163054,3823.901890540998
167_Al3P,Al3P,Pm-3m,0.1003177873692511,Al3P,1710.701254284978,2134.687856421021
168_Fe8Mo16,Fe8Mo16,Fd-3m,0.2217364434622553,FeMo2,2400.0,4420.817438692098
169_Cu3Ta,Cu3Ta,P4/mmm,0.0786238311665679,TaCu3,1940.872790968268,3106.971728850407
170_AlTa2,AlTa2,I4/mmm,-0.109572504407905,Ta2Al,2251.431783012288,4536.34396492385
171_Cu5Pt5,Cu5Pt5,P1,-0.1138101380258533,CuPt,4541.760816610602,7232.662104164249
173_Ba2V,Ba2V,I4/mmm,0.6621519240922341,Ba2V,3046.936920196993,2472.102040722307
