file_name,formula,space_group,value_per_atom
1406_Cu2Br2,Cu2Br2,Imma,0.0045894584552015
1410_K2Na,K2Na,I4/mmm,0.0087589688820123
1413_Nb2Pb2,Nb2Pb2,Cmcm,0.4433461486233714
1426_In4Sn2,In4Sn2,Cm,0.003060684052329
1433_Cr16W14,Cr16W14,P4_2/mnm,0.1711127888080928
1434_Cr12P17,Cr12P17,I-43m,-0.0830506357085518
1435_Ni4Sb2,Ni4Sb2,I4_1/amd,0.1844372324256843
1438_KNa3,KNa3,I4/mmm,0.0243309260970867
1442_Ag8P16,Ag8P16,Fd-3m,0.5154180949090043
1447_Fe2Pb2,Fe2Pb2,P4/nmm,0.2944677495223846
1448_PtV3,PtV3,Cmmm,-0.2197814555382198
1454_Al2Sn6,Al2Sn6,Pmmn,0.1020939395614122
1456_Ir4Na2,Ir4Na2,Pnnm,0.7132981850153968
1465_BaAs,BaAs,P4/mmm,-0.8242589244395955
1467_GaPt4,GaPt4,Im-3m,0.129965552129088
1476_Ni3Ta,Ni3Ta,Fm-3m,-0.1899694483609204
1478_Ta2Ge6,Ta2Ge6,I4/mmm,0.1118716085629225
1484_Nb2P,Nb2P,I4/mmm,-0.4176020747172989
1486_InIr,InIr,Fm-3m,0.4610586516897141
1501_Au2Nb2,Au2Nb2,Pmmn,-0.0823842144160345
1506_Ba2Pd2,Ba2Pd2,Cmcm,-0.5512698825241915
1512_CuNi,CuNi,Fm-3m,0.6666003672900942
1518_Mo2Pb4,Mo2Pb4,Cmcm,0.5624454406346094
1521_InBr5,InBr5,Amm2,-0.2827377903090093
1522_Cu6Ni2,Cu6Ni2,Pm-3n,0.1060776691267886
1532_Nb10P6,Nb10P6,I4/mcm,-0.8333341822598399
1536_Ta5V,Ta5V,Cmmm,0.0288458920268771
1543_Cu5Pb4,Cu5Pb4,I4/mmm,0.2302710594214126
1545_Ca4In,Ca4In,I4/m,-0.0793600515693867
1546_Mo2Pb4,Mo2Pb4,Cmcm,0.5704802408949945
1549_Ga3P,Ga3P,Pm-3m,0.1349100492576389
1559_Cu6Pt5,Cu6Pt5,P1,-0.1148469734807642
1560_SmSr,SmSr,P-6m2,-0.1430822315729507
1561_CrMn,CrMn,P-6m2,0.2397128541524225
1563_Ag2Na4,Ag2Na4,Pnnm,0.0735529798504162
1568_Cs16Bi16,Cs16Bi16,P2_1/c,-4.954624198783083
1573_Al2Nb2,Al2Nb2,I4_1/amd,-0.2448142268345599
1585_CuFe,CuFe,Fm-3m,0.793062598387337
1596_Ag4Ge6,Ag4Ge6,Fdd2,1.1126645576840708
1600_PtRh,PtRh,R-3m,0.011440339768499
1618_AlTa2,AlTa2,I4/mmm,-0.1258737631483046
1621_FePb,FePb,Pm-3m,0.8402487620204404
1622_Fe44Mo2,Fe44Mo2,Fd-3m,0.2251934174866468
1628_Nb2W2,Nb2W2,Cmcm,0.333740593282716
1631_Mn16W8,Mn16W8,Fd-3m,0.4934416629123663
1641_Pb2As2,Pb2As2,Imma,0.0840475302337555
1646_AuP,AuP,Immm,0.1982375973905634
1653_AlNb,AlNb,P-6m2,-0.1917684673515287
1655_WAs2,WAs2,I4/mmm,0.2057724770828173
1656_Au3P,Au3P,Pmm2,0.2589385795723418
1662_TaGe5,TaGe5,Cmmm,0.202469743993633
1669_NiPa,NiPa,P-6m2,-0.2848301627881691
1673_AsBr2,AsBr2,I4/mmm,0.1821197484917872
1675_AgBr2,AgBr2,Immm,-0.1491938272423508
1699_Ag2Ge2,Ag2Ge2,Pmmn,0.1769106188002136
1702_NaPt2,NaPt2,P4/mmm,0.3272971048436961
1713_Ba6Ga2,Ba6Ga2,Pmmn,-0.0995503976400025
1715_Cr3Ta,Cr3Ta,Cmmm,0.1301554515644412
1716_Mn6W2,Mn6W2,Pm-3n,0.1763066696193256
1723_Ag4Sn,Ag4Sn,I4/m,-0.0197127183807911
1724_Al2Cu,Al2Cu,Immm,-0.0700894357803155
1726_AuGa3,AuGa3,P4/mmm,-0.0481767646676423
1730_Cr4Sn8,Cr4Sn8,Fddd,-0.0265927506534436
1734_AgGe3,AgGe3,Immm,0.2660237849399345
1735_Ba6Sn2,Ba6Sn2,Cmcm,-0.1304743003915054
1738_IrV,IrV,P4/mmm,-0.4972864209587264
1740_Al2Sr6,Al2Sr6,Cmcm,0.0682416433704053
1743_Na5Pt4,Na5Pt4,I4/mmm,-0.0063450382886319
1748_Ag4Al3,Ag4Al3,I4/mmm,-0.0356463121095568
1819_Sn6W10,Sn6W10,I4/mcm,0.5835910355843623
1821_MnRh,MnRh,Pm-3m,-0.1924736817812853
1824_Cu3Ga,Cu3Ga,Imm2,-0.0800573082827607
1825_Pb2Sb6,Pb2Sb6,Cmcm,0.173259380384851
1840_GaMo,GaMo,P-6m2,-0.028439939265862
1843_Cu3Sn,Cu3Sn,P4/mmm,0.0759635169361603
1845_SmBi,SmBi,P-6m2,-0.8891919496746308
1847_Mn16W4,Mn16W4,I-43m,0.4679057054088744
1855_Ag2Ge4,Ag2Ge4,Pnnm,0.297839306357804
1861_AsBr8,AsBr8,I4/mmm,0.0996156429798001
1869_AlIn3,AlIn3,Imm2,0.1166018305890035
1872_Cr2As2,Cr2As2,P4/nmm,0.0077630930576173
1879_Al2Rh,Al2Rh,I4/mmm,-0.7826644855886933
1882_AlNb2,AlNb2,I4/mmm,-0.1454841621484703
1883_Cu4Ge2,Cu4Ge2,Pnnm,0.1403253897507686
1885_Sb2Ge2,Sb2Ge2,Imma,0.2790129490215403
1888_AuGa4,AuGa4,I4/mmm,0.091451306531556
1896_Cr5Nb,Cr5Nb,Cmmm,0.0783894885691474
1900_CuK,CuK,P-6m2,0.5618755958170236
1901_Ir2Na,Ir2Na,Immm,0.2358284209454311
1905_GaNp,GaNp,R-3m,-0.1393437317112527
1908_CuGe3,CuGe3,P4/mmm,0.2343947773578127
1911_InTh,InTh,P4/mmm,-0.2467436210790188
1913_CrSn2,CrSn2,I4/mmm,0.2617738281861198
1917_FePt,FePt,P4/mmm,0.1044084665960856
1922_Fe2Ir,Fe2Ir,I4/mmm,0.0990216812654504
1924_AuNp,AuNp,F-43m,2.1495720761711983
1932_AgTa3,AgTa3,Fm-3m,0.3187596400493717
1933_Ni2Rh2,Ni2Rh2,Cmme,0.2229648259063426
1937_Fe8Pb4,Fe8Pb4,Pa-3,1.127174672553231
1941_Nb3P4,Nb3P4,I4/mmm,-0.7612680442137554
1947_MnNi,MnNi,F-43m,1.5847576502533247
1955_RbU,RbU,P-6m2,1.1722792845582193
1961_AuSr,AuSr,Pm-3m,-0.7420538966163632
1963_Mo4P4,Mo4P4,P2_13,-0.5185167056942248
1975_Ta2Ge,Ta2Ge,I4/mmm,-0.1709796290019044
1989_Ba8P,Ba8P,I4/mmm,-0.1316894719354589
1994_Ga2As,Ga2As,I4/mmm,0.1121954406985832
1996_AgIn2,AgIn2,P4/mmm,0.0771648789217872
2008_Au2P,Au2P,I4/mmm,0.3120691496839557
2009_MoNb,MoNb,Pm-3m,-0.1312283059431038
2014_Cr12W18,Cr12W18,P4_2/mnm,0.3721570960262284
2017_Mn6Sn2,Mn6Sn2,I4/mmm,0.2060444772109209
2018_Au2Mn2,Au2Mn2,Pmma,0.0127753186422383
2019_KNa2,KNa2,I4/mmm,0.0142078707647042
2020_AlPd2,AlPd2,P4/mmm,-0.0943717988913158
2027_Mn2Mo4,Mn2Mo4,I4/mcm,0.148827009312118
